[7/5/18 06:29PM]	Bought Item from shop (Id: 4587, Amount: 1)	
[7/5/18 06:38PM]	Dropped Item (Id: Item [id=950, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:38PM]	Dropped Item (Id: Item [id=950, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:38PM]	Dropped Item (Id: Item [id=950, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:38PM]	Dropped Item (Id: Item [id=950, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:38PM]	Dropped Item (Id: Item [id=950, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:38PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:38PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:38PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:38PM]	Dropped Item (Id: Item [id=950, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:38PM]	Dropped Item (Id: Item [id=950, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:38PM]	Dropped Item (Id: Item [id=950, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:38PM]	Dropped Item (Id: Item [id=950, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:38PM]	Dropped Item (Id: Item [id=950, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:38PM]	Dropped Item (Id: Item [id=950, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:39PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:39PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:39PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:39PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:39PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:39PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:39PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:39PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:39PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:39PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:39PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:39PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:39PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:39PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:39PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:40PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:40PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:40PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:40PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:40PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:40PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:40PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:40PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:40PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:40PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:40PM]	Picked up an item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:40PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:40PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:40PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:40PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:40PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:40PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:40PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:40PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:40PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:41PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:42PM]	Sold Item to shop (Id: 442, Amount: 10)	
[7/5/18 06:42PM]	Sold Item to shop (Id: 442, Amount: 5)	
[7/5/18 06:42PM]	Sold Item to shop (Id: 442, Amount: 10)	
[7/5/18 06:42PM]	Sold Item to shop (Id: 442, Amount: 2)	
[7/5/18 06:42PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:43PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:43PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:43PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:43PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:43PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:43PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:43PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:43PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:43PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:43PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:43PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:43PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:43PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:43PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:43PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:43PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:43PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:43PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:43PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:43PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:43PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:43PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:43PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:43PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:43PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:43PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:43PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:44PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:44PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:44PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:44PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:44PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:44PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:44PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:44PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:44PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:44PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:44PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:44PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:44PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:44PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:44PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:44PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:44PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:44PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:44PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:44PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:44PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:44PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:45PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:45PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:45PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:45PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:45PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:45PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:45PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:45PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:45PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:45PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:45PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:45PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:45PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:45PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:45PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:45PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:45PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:45PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:45PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:45PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:45PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:45PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:46PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:46PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:46PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:46PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:46PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:46PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:46PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:46PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:46PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:46PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:46PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:46PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:46PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:46PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:46PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:46PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:46PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:46PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:46PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:46PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:46PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:46PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:46PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:46PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:46PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:46PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:46PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:47PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:47PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:47PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:47PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:47PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:47PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:47PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 1) at Position: 3095, 3504, 0	
[7/5/18 06:47PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:47PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:47PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:47PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:47PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:47PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:47PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:47PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:47PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:47PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:47PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:47PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:47PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:47PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:47PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:47PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:47PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:47PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:47PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:47PM]	Dropped Item (Id: Item [id=442, amount=1], Amount: 0) at Position: 3095, 3504, 0	
[7/5/18 06:48PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 0) at Position: 3097, 3504, 0	
[7/5/18 06:49PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 1) at Position: 3097, 3504, 0	
[7/5/18 06:49PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 1) at Position: 3097, 3504, 0	
[7/5/18 06:49PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 1) at Position: 3097, 3504, 0	
[7/5/18 06:49PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 1) at Position: 3097, 3504, 0	
[7/5/18 06:49PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 1) at Position: 3097, 3504, 0	
[7/5/18 06:49PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 1) at Position: 3097, 3504, 0	
[7/5/18 06:49PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 1) at Position: 3097, 3504, 0	
[7/5/18 06:49PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 1) at Position: 3097, 3504, 0	
[7/5/18 06:49PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 1) at Position: 3097, 3504, 0	
[7/5/18 06:49PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 0) at Position: 3097, 3504, 0	
[7/5/18 06:49PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 0) at Position: 3097, 3504, 0	
[7/5/18 06:49PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 0) at Position: 3097, 3504, 0	
[7/5/18 06:49PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 0) at Position: 3097, 3504, 0	
[7/5/18 06:49PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 0) at Position: 3097, 3504, 0	
[7/5/18 06:49PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 0) at Position: 3097, 3504, 0	
[7/5/18 06:49PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 0) at Position: 3097, 3504, 0	
[7/5/18 06:49PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 0) at Position: 3097, 3504, 0	
[7/5/18 06:49PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 0) at Position: 3097, 3504, 0	
[7/5/18 06:49PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 0) at Position: 3097, 3504, 0	
[7/5/18 06:49PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 0) at Position: 3097, 3504, 0	
[7/5/18 06:49PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 0) at Position: 3097, 3504, 0	
[7/5/18 06:50PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 1) at Position: 3097, 3504, 0	
[7/5/18 06:50PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 1) at Position: 3097, 3504, 0	
[7/5/18 06:50PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 1) at Position: 3097, 3504, 0	
[7/5/18 06:50PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 1) at Position: 3097, 3504, 0	
[7/5/18 06:50PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 1) at Position: 3097, 3504, 0	
[7/5/18 06:50PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 1) at Position: 3097, 3504, 0	
[7/5/18 06:50PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 1) at Position: 3097, 3504, 0	
[7/5/18 06:50PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 1) at Position: 3097, 3504, 0	
[7/5/18 06:50PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 1) at Position: 3097, 3504, 0	
[7/5/18 06:50PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 1) at Position: 3097, 3504, 0	
[7/5/18 06:50PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 1) at Position: 3097, 3504, 0	
[7/5/18 06:50PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 0) at Position: 3097, 3504, 0	
[7/5/18 06:50PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 0) at Position: 3097, 3504, 0	
[7/5/18 06:50PM]	Dropped Item (Id: Item [id=2007, amount=1], Amount: 0) at Position: 3097, 3504, 0	
