[7/5/18 05:19PM]	Sent Private-Message to User: vali and said 'i think the obsticale pipe in taverly dung is bugged '	
[7/5/18 07:10PM]	Picked up an item (Id: Item [id=562, amount=19], Amount: 19) at Position: 2665, 9481, 0	
[7/5/18 07:10PM]	Picked up an item (Id: Item [id=201, amount=1], Amount: 1) at Position: 2664, 9482, 0	
[7/5/18 07:10PM]	Picked up an item (Id: Item [id=563, amount=3], Amount: 3) at Position: 2666, 9489, 0	
[7/5/18 07:10PM]	Dropped Item (Id: Item [id=379, amount=1], Amount: 10) at Position: 2666, 9489, 0	
[7/5/18 07:10PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2666, 9489, 0	
[7/5/18 07:11PM]	Picked up an item (Id: Item [id=379, amount=1], Amount: 1) at Position: 2666, 9489, 0	
[7/5/18 07:12PM]	Picked up an item (Id: Item [id=2714, amount=1], Amount: 1) at Position: 2666, 9485, 0	
[7/5/18 07:12PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2666, 9486, 0	
[7/5/18 07:12PM]	Picked up an item (Id: Item [id=201, amount=1], Amount: 1) at Position: 2666, 9486, 0	
[7/6/18 01:56PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2660, 9498, 0	
[7/6/18 01:56PM]	Picked up an item (Id: Item [id=565, amount=5], Amount: 5) at Position: 2660, 9498, 0	
[7/6/18 01:56PM]	Picked up an item (Id: Item [id=563, amount=6], Amount: 6) at Position: 2660, 9498, 0	
[7/6/18 01:57PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2667, 9488, 0	
[7/6/18 01:57PM]	Picked up an item (Id: Item [id=1333, amount=1], Amount: 1) at Position: 2667, 9488, 0	
[7/6/18 01:57PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2667, 9488, 0	
[7/6/18 01:57PM]	Picked up an item (Id: Item [id=562, amount=6], Amount: 6) at Position: 2664, 9482, 0	
[7/6/18 01:57PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2664, 9482, 0	
[7/6/18 01:57PM]	Picked up an item (Id: Item [id=117, amount=1], Amount: 1) at Position: 2664, 9482, 0	
[7/6/18 01:58PM]	Picked up an item (Id: Item [id=12163, amount=1], Amount: 1) at Position: 2667, 9481, 0	
[7/6/18 01:58PM]	Picked up an item (Id: Item [id=217, amount=1], Amount: 1) at Position: 2668, 9481, 0	
[7/6/18 01:58PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2668, 9481, 0	
[7/6/18 01:58PM]	Picked up an item (Id: Item [id=199, amount=1], Amount: 1) at Position: 2668, 9481, 0	
[7/6/18 01:59PM]	Picked up an item (Id: Item [id=995, amount=29], Amount: 29) at Position: 2664, 9480, 0	
[7/6/18 01:59PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2665, 9480, 0	
[7/6/18 01:59PM]	Picked up an item (Id: Item [id=1, amount=1], Amount: 1) at Position: 2668, 9481, 0	
[7/6/18 01:59PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2668, 9481, 0	
[7/6/18 01:59PM]	Picked up an item (Id: Item [id=207, amount=1], Amount: 1) at Position: 2668, 9481, 0	
[7/6/18 02:00PM]	Picked up an item (Id: Item [id=1333, amount=1], Amount: 1) at Position: 2668, 9481, 0	
[7/6/18 02:00PM]	Picked up an item (Id: Item [id=562, amount=12], Amount: 12) at Position: 2667, 9482, 0	
[7/6/18 02:00PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2667, 9482, 0	
[7/6/18 02:00PM]	Picked up an item (Id: Item [id=201, amount=1], Amount: 1) at Position: 2667, 9482, 0	
[7/6/18 02:00PM]	Picked up an item (Id: Item [id=12163, amount=6], Amount: 6) at Position: 2665, 9482, 0	
[7/6/18 02:00PM]	Picked up an item (Id: Item [id=117, amount=1], Amount: 1) at Position: 2665, 9482, 0	
[7/6/18 02:01PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2665, 9481, 0	
[7/6/18 02:01PM]	Picked up an item (Id: Item [id=12159, amount=9], Amount: 9) at Position: 2665, 9481, 0	
[7/6/18 02:01PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2664, 9482, 0	
[7/6/18 02:01PM]	Picked up an item (Id: Item [id=1, amount=1], Amount: 1) at Position: 2664, 9482, 0	
[7/6/18 02:01PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2664, 9482, 0	
[7/6/18 02:02PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2660, 9481, 0	
[7/6/18 02:02PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2661, 9482, 0	
[7/6/18 02:02PM]	Picked up an item (Id: Item [id=2353, amount=1], Amount: 1) at Position: 2661, 9481, 0	
[7/6/18 02:02PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2661, 9480, 0	
[7/6/18 02:03PM]	Picked up an item (Id: Item [id=12158, amount=5], Amount: 5) at Position: 2662, 9479, 0	
[7/6/18 02:03PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2662, 9480, 0	
[7/6/18 02:03PM]	Picked up an item (Id: Item [id=1, amount=1], Amount: 1) at Position: 2662, 9480, 0	
[7/6/18 02:03PM]	Picked up an item (Id: Item [id=201, amount=1], Amount: 1) at Position: 2662, 9480, 0	
[7/6/18 02:03PM]	Picked up an item (Id: Item [id=1181, amount=1], Amount: 1) at Position: 2660, 9480, 0	
[7/6/18 02:03PM]	Picked up an item (Id: Item [id=562, amount=17], Amount: 17) at Position: 2660, 9480, 0	
[7/6/18 02:03PM]	Picked up an item (Id: Item [id=12160, amount=9], Amount: 9) at Position: 2660, 9480, 0	
[7/6/18 02:03PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2660, 9480, 0	
[7/6/18 02:04PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2658, 9480, 0	
[7/6/18 02:04PM]	Picked up an item (Id: Item [id=1, amount=1], Amount: 1) at Position: 2658, 9480, 0	
[7/6/18 02:04PM]	Picked up an item (Id: Item [id=2714, amount=1], Amount: 1) at Position: 2660, 9480, 0	
[7/6/18 02:04PM]	Dropped Item (Id: Item [id=1191, amount=1], Amount: 1) at Position: 2661, 9480, 0	
[7/6/18 02:04PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2661, 9480, 0	
[7/6/18 02:04PM]	Picked up an item (Id: Item [id=201, amount=1], Amount: 1) at Position: 2661, 9480, 0	
[7/6/18 02:07PM]	Bought Item from shop (Id: 4155, Amount: 1)	
[7/6/18 02:07PM]	Bought Item from shop (Id: 4156, Amount: 1)	
[7/6/18 02:07PM]	Bought Item from shop (Id: 4158, Amount: 1)	
[7/6/18 02:10PM]	Picked up an item (Id: Item [id=1353, amount=1], Amount: 1) at Position: 2658, 9498, 0	
[7/6/18 02:10PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2658, 9498, 0	
[7/6/18 02:10PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2658, 9498, 0	
[7/6/18 02:11PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2666, 9488, 0	
[7/6/18 02:11PM]	Picked up an item (Id: Item [id=987, amount=1], Amount: 1) at Position: 2666, 9488, 0	
[7/6/18 02:12PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2666, 9486, 0	
[7/6/18 02:12PM]	Picked up an item (Id: Item [id=205, amount=1], Amount: 1) at Position: 2667, 9486, 0	
[7/6/18 02:12PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2666, 9484, 0	
[7/6/18 02:12PM]	Picked up an item (Id: Item [id=562, amount=9], Amount: 9) at Position: 2666, 9484, 0	
[7/6/18 02:12PM]	Picked up an item (Id: Item [id=554, amount=58], Amount: 58) at Position: 2665, 9482, 0	
[7/6/18 02:12PM]	Picked up an item (Id: Item [id=12159, amount=9], Amount: 9) at Position: 2665, 9482, 0	
[7/6/18 02:12PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2665, 9482, 0	
[7/6/18 02:12PM]	Picked up an item (Id: Item [id=199, amount=1], Amount: 1) at Position: 2665, 9482, 0	
[7/6/18 02:12PM]	Picked up an item (Id: Item [id=2485, amount=1], Amount: 1) at Position: 2666, 9484, 0	
[7/6/18 02:12PM]	Picked up an item (Id: Item [id=217, amount=1], Amount: 1) at Position: 2665, 9482, 0	
[7/6/18 02:13PM]	Picked up an item (Id: Item [id=2714, amount=1], Amount: 1) at Position: 2656, 9481, 0	
[7/6/18 02:13PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2656, 9481, 0	
[7/6/18 02:13PM]	Picked up an item (Id: Item [id=205, amount=1], Amount: 1) at Position: 2656, 9481, 0	
[7/6/18 02:13PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2651, 9485, 0	
[7/6/18 02:14PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2665, 9480, 0	
[7/6/18 02:14PM]	Picked up an item (Id: Item [id=12163, amount=8], Amount: 8) at Position: 2665, 9481, 0	
[7/6/18 02:14PM]	Picked up an item (Id: Item [id=203, amount=1], Amount: 1) at Position: 2664, 9480, 0	
[7/6/18 02:14PM]	Picked up an item (Id: Item [id=1353, amount=1], Amount: 1) at Position: 2664, 9480, 0	
[7/6/18 02:14PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2665, 9480, 0	
[7/6/18 02:14PM]	Picked up an item (Id: Item [id=2714, amount=1], Amount: 1) at Position: 2665, 9480, 0	
[7/6/18 02:14PM]	Dropped Item (Id: Item [id=1353, amount=1], Amount: 1) at Position: 2665, 9480, 0	
[7/6/18 02:14PM]	Picked up an item (Id: Item [id=199, amount=1], Amount: 1) at Position: 2665, 9480, 0	
[7/6/18 02:15PM]	Picked up an item (Id: Item [id=2353, amount=1], Amount: 1) at Position: 2665, 9480, 0	
[7/6/18 02:15PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2665, 9481, 0	
[7/6/18 02:16PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2666, 9481, 0	
[7/6/18 02:16PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2665, 9482, 0	
[7/6/18 02:16PM]	Picked up an item (Id: Item [id=201, amount=1], Amount: 1) at Position: 2665, 9482, 0	
[7/6/18 02:16PM]	Picked up an item (Id: Item [id=562, amount=14], Amount: 14) at Position: 2665, 9480, 0	
[7/6/18 02:16PM]	Picked up an item (Id: Item [id=1353, amount=1], Amount: 1) at Position: 2665, 9480, 0	
[7/6/18 02:16PM]	Picked up an item (Id: Item [id=2714, amount=1], Amount: 1) at Position: 2665, 9480, 0	
[7/6/18 02:16PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2665, 9480, 0	
[7/6/18 02:20PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2660, 9500, 0	
[7/6/18 02:20PM]	Picked up an item (Id: Item [id=199, amount=1], Amount: 1) at Position: 2660, 9500, 0	
[7/6/18 02:20PM]	Picked up an item (Id: Item [id=1353, amount=1], Amount: 1) at Position: 2660, 9500, 0	
[7/6/18 02:21PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2670, 9490, 0	
[7/6/18 02:21PM]	Picked up an item (Id: Item [id=215, amount=1], Amount: 1) at Position: 2670, 9490, 0	
[7/6/18 02:21PM]	Picked up an item (Id: Item [id=1393, amount=1], Amount: 1) at Position: 2658, 9483, 0	
[7/6/18 02:21PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2658, 9483, 0	
[7/6/18 02:21PM]	Picked up an item (Id: Item [id=12160, amount=8], Amount: 8) at Position: 2657, 9483, 0	
[7/6/18 02:21PM]	Picked up an item (Id: Item [id=1, amount=1], Amount: 1) at Position: 2658, 9483, 0	
[7/6/18 02:21PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2658, 9483, 0	
[7/6/18 02:22PM]	Picked up an item (Id: Item [id=12159, amount=3], Amount: 3) at Position: 2656, 9482, 0	
[7/6/18 02:22PM]	Picked up an item (Id: Item [id=2353, amount=1], Amount: 1) at Position: 2656, 9482, 0	
[7/6/18 02:22PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2656, 9482, 0	
[7/6/18 02:22PM]	Picked up an item (Id: Item [id=203, amount=1], Amount: 1) at Position: 2656, 9482, 0	
[7/6/18 02:22PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2653, 9485, 0	
[7/6/18 02:22PM]	Picked up an item (Id: Item [id=209, amount=1], Amount: 1) at Position: 2653, 9486, 0	
[7/6/18 02:22PM]	Picked up an item (Id: Item [id=217, amount=1], Amount: 1) at Position: 2653, 9486, 0	
[7/6/18 02:23PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2663, 9482, 0	
[7/6/18 02:23PM]	Picked up an item (Id: Item [id=209, amount=1], Amount: 1) at Position: 2663, 9482, 0	
[7/6/18 02:23PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2663, 9482, 0	
[7/6/18 02:23PM]	Picked up an item (Id: Item [id=562, amount=15], Amount: 15) at Position: 2661, 9482, 0	
[7/6/18 02:23PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2661, 9482, 0	
[7/6/18 02:23PM]	Picked up an item (Id: Item [id=199, amount=1], Amount: 1) at Position: 2660, 9482, 0	
[7/6/18 02:23PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2661, 9482, 0	
[7/6/18 02:24PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2661, 9481, 0	
[7/6/18 02:24PM]	Picked up an item (Id: Item [id=379, amount=1], Amount: 1) at Position: 2657, 9479, 0	
[7/6/18 02:24PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2657, 9479, 0	
[7/6/18 02:24PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2657, 9479, 0	
[7/6/18 02:27PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2660, 9498, 0	
[7/6/18 02:27PM]	Picked up an item (Id: Item [id=1, amount=1], Amount: 1) at Position: 2660, 9498, 0	
[7/6/18 02:28PM]	Picked up an item (Id: Item [id=2714, amount=1], Amount: 1) at Position: 2667, 9488, 0	
[7/6/18 02:28PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2667, 9488, 0	
[7/6/18 02:28PM]	Picked up an item (Id: Item [id=1, amount=1], Amount: 1) at Position: 2667, 9487, 0	
[7/6/18 02:28PM]	Picked up an item (Id: Item [id=12159, amount=7], Amount: 7) at Position: 2667, 9481, 0	
[7/6/18 02:28PM]	Picked up an item (Id: Item [id=995, amount=19], Amount: 19) at Position: 2666, 9482, 0	
[7/6/18 02:28PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2666, 9482, 0	
[7/6/18 02:28PM]	Picked up an item (Id: Item [id=199, amount=1], Amount: 1) at Position: 2666, 9482, 0	
[7/6/18 02:29PM]	Picked up an item (Id: Item [id=554, amount=58], Amount: 58) at Position: 2667, 9481, 0	
[7/6/18 02:29PM]	Picked up an item (Id: Item [id=201, amount=1], Amount: 1) at Position: 2668, 9481, 0	
[7/6/18 02:29PM]	Picked up an item (Id: Item [id=2714, amount=1], Amount: 1) at Position: 2668, 9481, 0	
[7/6/18 02:29PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2668, 9481, 0	
[7/6/18 02:29PM]	Picked up an item (Id: Item [id=217, amount=1], Amount: 1) at Position: 2668, 9481, 0	
[7/6/18 02:29PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2663, 9482, 0	
[7/6/18 02:29PM]	Picked up an item (Id: Item [id=211, amount=1], Amount: 1) at Position: 2663, 9483, 0	
[7/6/18 02:30PM]	Picked up an item (Id: Item [id=995, amount=31], Amount: 31) at Position: 2658, 9479, 0	
[7/6/18 02:30PM]	Picked up an item (Id: Item [id=199, amount=1], Amount: 1) at Position: 2658, 9479, 0	
[7/6/18 02:30PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2658, 9479, 0	
[7/6/18 02:30PM]	Picked up an item (Id: Item [id=207, amount=1], Amount: 1) at Position: 2658, 9479, 0	
[7/6/18 02:30PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2666, 9480, 0	
[7/6/18 02:31PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2657, 9479, 0	
[7/6/18 02:31PM]	Picked up an item (Id: Item [id=1353, amount=1], Amount: 1) at Position: 2657, 9479, 0	
[7/6/18 02:32PM]	Picked up an item (Id: Item [id=1333, amount=1], Amount: 1) at Position: 2665, 9480, 0	
[7/6/18 02:32PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2665, 9481, 0	
[7/6/18 02:32PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2659, 9480, 0	
[7/6/18 02:32PM]	Picked up an item (Id: Item [id=565, amount=5], Amount: 5) at Position: 2659, 9480, 0	
[7/6/18 02:32PM]	Picked up an item (Id: Item [id=201, amount=1], Amount: 1) at Position: 2659, 9480, 0	
[7/6/18 02:32PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2659, 9480, 0	
[7/6/18 02:33PM]	Picked up an item (Id: Item [id=565, amount=5], Amount: 5) at Position: 2659, 9480, 0	
[7/6/18 02:33PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2660, 9480, 0	
[7/6/18 02:33PM]	Picked up an item (Id: Item [id=199, amount=1], Amount: 1) at Position: 2660, 9480, 0	
[7/6/18 02:33PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2658, 9480, 0	
[7/6/18 02:33PM]	Picked up an item (Id: Item [id=1353, amount=1], Amount: 1) at Position: 2658, 9480, 0	
[7/6/18 02:33PM]	Picked up an item (Id: Item [id=207, amount=1], Amount: 1) at Position: 2658, 9480, 0	
[7/6/18 02:33PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2660, 9480, 0	
[7/6/18 02:33PM]	Picked up an item (Id: Item [id=207, amount=1], Amount: 1) at Position: 2660, 9480, 0	
[7/6/18 02:34PM]	Picked up an item (Id: Item [id=554, amount=44], Amount: 44) at Position: 2664, 9480, 0	
[7/6/18 02:34PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2665, 9480, 0	
[7/6/18 02:34PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2657, 9480, 0	
[7/6/18 02:34PM]	Picked up an item (Id: Item [id=201, amount=1], Amount: 1) at Position: 2657, 9481, 0	
[7/6/18 02:35PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2663, 9480, 0	
[7/6/18 02:35PM]	Picked up an item (Id: Item [id=213, amount=1], Amount: 1) at Position: 2662, 9481, 0	
[7/6/18 02:35PM]	Picked up an item (Id: Item [id=554, amount=83], Amount: 83) at Position: 2658, 9481, 0	
[7/6/18 02:35PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2658, 9482, 0	
[7/6/18 02:37PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2660, 9499, 0	
[7/6/18 02:37PM]	Picked up an item (Id: Item [id=565, amount=5], Amount: 5) at Position: 2660, 9499, 0	
[7/6/18 02:37PM]	Picked up an item (Id: Item [id=207, amount=1], Amount: 1) at Position: 2660, 9499, 0	
[7/6/18 02:38PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2660, 9499, 0	
[7/6/18 02:38PM]	Dropped Item (Id: Item [id=355, amount=1], Amount: 1) at Position: 2671, 9492, 0	
[7/6/18 02:38PM]	Picked up an item (Id: Item [id=355, amount=1], Amount: 1) at Position: 2671, 9492, 0	
[7/6/18 02:38PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2670, 9490, 0	
[7/6/18 02:38PM]	Picked up an item (Id: Item [id=201, amount=1], Amount: 1) at Position: 2670, 9490, 0	
[7/6/18 02:39PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2663, 9481, 0	
[7/6/18 02:39PM]	Picked up an item (Id: Item [id=12158, amount=11], Amount: 11) at Position: 2663, 9481, 0	
[7/6/18 02:39PM]	Picked up an item (Id: Item [id=1, amount=1], Amount: 1) at Position: 2663, 9481, 0	
[7/6/18 02:39PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2665, 9480, 0	
[7/6/18 02:40PM]	Picked up an item (Id: Item [id=892, amount=12], Amount: 12) at Position: 2664, 9480, 0	
[7/6/18 02:40PM]	Picked up an item (Id: Item [id=554, amount=67], Amount: 67) at Position: 2665, 9480, 0	
[7/6/18 02:40PM]	Picked up an item (Id: Item [id=12159, amount=3], Amount: 3) at Position: 2665, 9480, 0	
[7/6/18 02:40PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2665, 9480, 0	
[7/6/18 02:40PM]	Picked up an item (Id: Item [id=987, amount=1], Amount: 1) at Position: 2665, 9480, 0	
[7/6/18 02:40PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2656, 9480, 0	
[7/6/18 02:40PM]	Picked up an item (Id: Item [id=985, amount=1], Amount: 1) at Position: 2656, 9481, 0	
[7/6/18 02:41PM]	Picked up an item (Id: Item [id=12163, amount=5], Amount: 5) at Position: 2663, 9480, 0	
[7/6/18 02:41PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2664, 9480, 0	
