[7/10/18 02:41PM]	Recieved Private-Message from User: Thug which said 'added '	
[7/10/18 03:01PM]	Picked up an item (Id: Item [id=987, amount=1], Amount: 1) at Position: 2973, 3616, 0	
[7/10/18 03:01PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2973, 3616, 0	
[7/10/18 03:01PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2973, 3616, 0	
[7/10/18 03:02PM]	Picked up an item (Id: Item [id=985, amount=1], Amount: 1) at Position: 2977, 3616, 0	
[7/10/18 03:02PM]	Picked up an item (Id: Item [id=12158, amount=2], Amount: 2) at Position: 2977, 3616, 0	
[7/10/18 03:02PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2977, 3616, 0	
[7/10/18 03:02PM]	Picked up an item (Id: Item [id=987, amount=1], Amount: 1) at Position: 2977, 3616, 0	
[7/10/18 03:02PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2978, 3616, 0	
[7/10/18 03:23PM]	Picked up an item (Id: Item [id=9144, amount=4], Amount: 4) at Position: 2384, 5080, 4996	
[7/10/18 03:23PM]	Picked up an item (Id: Item [id=10159, amount=2], Amount: 2) at Position: 2386, 5080, 4996	
[7/10/18 03:28PM]	Picked up an item (Id: Item [id=9144, amount=2], Amount: 2) at Position: 2385, 5095, 3376	
[7/10/18 03:28PM]	Picked up an item (Id: Item [id=10159, amount=2], Amount: 2) at Position: 2384, 5095, 3376	
[7/10/18 03:31PM]	Picked up an item (Id: Item [id=9144, amount=4], Amount: 4) at Position: 2387, 5081, 3376	
[7/10/18 03:34PM]	Picked up an item (Id: Item [id=987, amount=1], Amount: 1) at Position: 2953, 3881, 0	
[7/10/18 03:34PM]	Picked up an item (Id: Item [id=12158, amount=6], Amount: 6) at Position: 2952, 3880, 0	
[7/10/18 03:34PM]	Picked up an item (Id: Item [id=10159, amount=1], Amount: 1) at Position: 2952, 3880, 0	
[7/10/18 03:34PM]	Picked up an item (Id: Item [id=526, amount=1], Amount: 1) at Position: 2952, 3880, 0	
[7/10/18 03:35PM]	Picked up an item (Id: Item [id=12159, amount=3], Amount: 3) at Position: 2952, 3878, 0	
[7/10/18 03:35PM]	Picked up an item (Id: Item [id=987, amount=1], Amount: 1) at Position: 2952, 3878, 0	
[7/10/18 03:36PM]	Picked up an item (Id: Item [id=10159, amount=3], Amount: 3) at Position: 2955, 3877, 0	
[7/10/18 03:36PM]	Picked up an item (Id: Item [id=5298, amount=1], Amount: 1) at Position: 2954, 3878, 0	
[7/10/18 03:36PM]	Picked up an item (Id: Item [id=12159, amount=5], Amount: 5) at Position: 2952, 3879, 0	
[7/10/18 03:36PM]	Picked up an item (Id: Item [id=5303, amount=1], Amount: 1) at Position: 2952, 3879, 0	
[7/10/18 03:36PM]	Picked up an item (Id: Item [id=10159, amount=2], Amount: 2) at Position: 2952, 3879, 0	
[7/10/18 03:36PM]	Picked up an item (Id: Item [id=10159, amount=1], Amount: 1) at Position: 2952, 3879, 0	
[7/10/18 03:36PM]	Picked up an item (Id: Item [id=2714, amount=1], Amount: 1) at Position: 2952, 3877, 0	
[7/10/18 03:37PM]	Picked up an item (Id: Item [id=12159, amount=6], Amount: 6) at Position: 2952, 3877, 0	
[7/10/18 03:37PM]	Picked up an item (Id: Item [id=12159, amount=7], Amount: 7) at Position: 2950, 3876, 0	
[7/10/18 03:37PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2950, 3876, 0	
[7/10/18 03:38PM]	Dropped Item (Id: Item [id=995, amount=26987], Amount: 0) at Position: 2950, 3876, 0	
[7/10/18 03:38PM]	Picked up an item (Id: Item [id=985, amount=1], Amount: 1) at Position: 2950, 3875, 0	
[7/10/18 03:38PM]	Picked up an item (Id: Item [id=5296, amount=1], Amount: 1) at Position: 2951, 3876, 0	
[7/10/18 03:38PM]	Dropped Item (Id: Item [id=229, amount=1], Amount: 0) at Position: 2951, 3876, 0	
[7/10/18 03:38PM]	Picked up an item (Id: Item [id=985, amount=1], Amount: 1) at Position: 2949, 3876, 0	
[7/10/18 03:38PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2949, 3876, 0	
[7/10/18 03:38PM]	Dropped Item (Id: Item [id=995, amount=25160], Amount: 0) at Position: 2949, 3876, 0	
[7/10/18 03:39PM]	Picked up an item (Id: Item [id=12158, amount=3], Amount: 3) at Position: 2952, 3878, 0	
[7/10/18 03:39PM]	Picked up an item (Id: Item [id=5296, amount=1], Amount: 1) at Position: 2952, 3878, 0	
[7/10/18 03:39PM]	Picked up an item (Id: Item [id=10159, amount=3], Amount: 3) at Position: 2952, 3878, 0	
[7/10/18 03:40PM]	Picked up an item (Id: Item [id=987, amount=1], Amount: 1) at Position: 2953, 3882, 0	
[7/10/18 03:40PM]	Picked up an item (Id: Item [id=10159, amount=3], Amount: 3) at Position: 2953, 3882, 0	
[7/10/18 03:40PM]	Picked up an item (Id: Item [id=10159, amount=1], Amount: 1) at Position: 2953, 3882, 0	
[7/10/18 03:41PM]	Picked up an item (Id: Item [id=12158, amount=1], Amount: 1) at Position: 2951, 3877, 0	
[7/10/18 03:41PM]	Picked up an item (Id: Item [id=5301, amount=1], Amount: 1) at Position: 2951, 3877, 0	
[7/10/18 03:41PM]	Picked up an item (Id: Item [id=526, amount=1], Amount: 1) at Position: 2951, 3877, 0	
[7/10/18 03:41PM]	Picked up an item (Id: Item [id=12159, amount=2], Amount: 2) at Position: 2951, 3877, 0	
[7/10/18 03:41PM]	Picked up an item (Id: Item [id=561, amount=15], Amount: 15) at Position: 2952, 3881, 0	
[7/10/18 03:41PM]	Picked up an item (Id: Item [id=5301, amount=1], Amount: 1) at Position: 2953, 3881, 0	
[7/10/18 03:41PM]	Dropped Item (Id: Item [id=561, amount=15], Amount: 1) at Position: 2953, 3882, 0	
[7/10/18 03:42PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2952, 3880, 0	
[7/10/18 03:42PM]	Picked up an item (Id: Item [id=5299, amount=1], Amount: 1) at Position: 2952, 3880, 0	
[7/10/18 03:42PM]	Dropped Item (Id: Item [id=995, amount=26918], Amount: 0) at Position: 2952, 3880, 0	
[7/10/18 03:42PM]	Dropped Item (Id: Item [id=229, amount=1], Amount: 0) at Position: 2952, 3880, 0	
[7/10/18 03:42PM]	Picked up an item (Id: Item [id=12159, amount=1], Amount: 1) at Position: 2952, 3880, 0	
[7/10/18 03:42PM]	Picked up an item (Id: Item [id=985, amount=1], Amount: 1) at Position: 2952, 3881, 0	
[7/10/18 03:42PM]	Picked up an item (Id: Item [id=5300, amount=1], Amount: 1) at Position: 2952, 3881, 0	
[7/10/18 03:42PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2952, 3881, 0	
[7/10/18 03:42PM]	Picked up an item (Id: Item [id=995, amount=26918], Amount: 26918) at Position: 2952, 3881, 0	
[7/10/18 03:42PM]	Picked up an item (Id: Item [id=12158, amount=7], Amount: 7) at Position: 2952, 3880, 0	
[7/10/18 03:43PM]	Picked up an item (Id: Item [id=987, amount=1], Amount: 1) at Position: 2952, 3878, 0	
[7/10/18 03:44PM]	Picked up an item (Id: Item [id=5295, amount=1], Amount: 1) at Position: 2953, 3882, 0	
[7/10/18 03:44PM]	Picked up an item (Id: Item [id=561, amount=15], Amount: 15) at Position: 2953, 3882, 0	
[7/10/18 03:44PM]	Picked up an item (Id: Item [id=12159, amount=4], Amount: 4) at Position: 2953, 3882, 0	
[7/10/18 03:44PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2953, 3882, 0	
[7/10/18 03:45PM]	Picked up an item (Id: Item [id=554, amount=100], Amount: 100) at Position: 2953, 3882, 0	
[7/10/18 03:45PM]	Picked up an item (Id: Item [id=985, amount=1], Amount: 1) at Position: 2953, 3879, 0	
[7/10/18 03:45PM]	Picked up an item (Id: Item [id=5295, amount=1], Amount: 1) at Position: 2952, 3879, 0	
[7/10/18 03:45PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2952, 3880, 0	
[7/10/18 03:45PM]	Picked up an item (Id: Item [id=5302, amount=1], Amount: 1) at Position: 2953, 3882, 0	
[7/10/18 03:48PM]	Picked up an item (Id: Item [id=12159, amount=5], Amount: 5) at Position: 2953, 3882, 0	
[7/10/18 03:48PM]	Picked up an item (Id: Item [id=5300, amount=1], Amount: 1) at Position: 2953, 3882, 0	
[7/10/18 03:48PM]	Picked up an item (Id: Item [id=526, amount=1], Amount: 1) at Position: 2953, 3882, 0	
[7/10/18 03:48PM]	Picked up an item (Id: Item [id=12159, amount=5], Amount: 5) at Position: 2953, 3879, 0	
[7/10/18 03:48PM]	Picked up an item (Id: Item [id=217, amount=1], Amount: 1) at Position: 2952, 3879, 0	
[7/10/18 03:48PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2952, 3879, 0	
[7/10/18 03:49PM]	Picked up an item (Id: Item [id=12158, amount=6], Amount: 6) at Position: 2952, 3881, 0	
[7/10/18 03:49PM]	Picked up an item (Id: Item [id=5297, amount=1], Amount: 1) at Position: 2953, 3882, 0	
[7/10/18 03:49PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2955, 3877, 0	
[7/10/18 03:50PM]	Picked up an item (Id: Item [id=5301, amount=1], Amount: 1) at Position: 2953, 3881, 0	
[7/10/18 03:50PM]	Picked up an item (Id: Item [id=12158, amount=3], Amount: 3) at Position: 2953, 3878, 0	
[7/10/18 03:50PM]	Picked up an item (Id: Item [id=5298, amount=1], Amount: 1) at Position: 2953, 3878, 0	
[7/10/18 03:51PM]	Picked up an item (Id: Item [id=5295, amount=1], Amount: 1) at Position: 2953, 3881, 0	
[7/10/18 03:51PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2953, 3882, 0	
[7/10/18 03:51PM]	Picked up an item (Id: Item [id=5295, amount=1], Amount: 1) at Position: 2953, 3878, 0	
[7/10/18 03:51PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2953, 3878, 0	
[7/10/18 03:51PM]	Picked up an item (Id: Item [id=10159, amount=2], Amount: 2) at Position: 2953, 3878, 0	
[7/10/18 03:51PM]	Picked up an item (Id: Item [id=10159, amount=1], Amount: 1) at Position: 2953, 3878, 0	
[7/10/18 03:51PM]	Picked up an item (Id: Item [id=10159, amount=1], Amount: 1) at Position: 2953, 3878, 0	
[7/10/18 03:51PM]	Picked up an item (Id: Item [id=10159, amount=1], Amount: 1) at Position: 2952, 3880, 0	
[7/10/18 03:57PM]	Dropped Item (Id: Item [id=3842, amount=1], Amount: 0) at Position: 3101, 3504, 0	
[7/10/18 04:01PM]	Picked up an item (Id: Item [id=12159, amount=2], Amount: 2) at Position: 2747, 10007, 0	
[7/10/18 04:02PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2746, 10008, 0	
[7/10/18 04:02PM]	Picked up an item (Id: Item [id=555, amount=75], Amount: 75) at Position: 2747, 10007, 0	
[7/10/18 04:02PM]	Picked up an item (Id: Item [id=2714, amount=1], Amount: 1) at Position: 2747, 10008, 0	
[7/10/18 04:02PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2747, 10009, 0	
[7/10/18 04:03PM]	Picked up an item (Id: Item [id=12160, amount=5], Amount: 5) at Position: 2745, 10009, 0	
[7/10/18 04:03PM]	Picked up an item (Id: Item [id=555, amount=75], Amount: 75) at Position: 2745, 10009, 0	
[7/10/18 04:03PM]	Picked up an item (Id: Item [id=995, amount=24], Amount: 24) at Position: 2745, 10009, 0	
[7/10/18 04:03PM]	Picked up an item (Id: Item [id=12159, amount=3], Amount: 3) at Position: 2746, 10009, 0	
[7/10/18 04:05PM]	Picked up an item (Id: Item [id=12160, amount=7], Amount: 7) at Position: 2747, 10010, 0	
[7/10/18 04:05PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2747, 10010, 0	
[7/10/18 04:05PM]	Picked up an item (Id: Item [id=12159, amount=1], Amount: 1) at Position: 2748, 10008, 0	
[7/10/18 04:05PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2748, 10008, 0	
[7/10/18 04:06PM]	Picked up an item (Id: Item [id=12159, amount=5], Amount: 5) at Position: 2744, 10008, 0	
[7/10/18 04:06PM]	Picked up an item (Id: Item [id=985, amount=1], Amount: 1) at Position: 2745, 10007, 0	
[7/10/18 04:06PM]	Picked up an item (Id: Item [id=987, amount=1], Amount: 1) at Position: 2745, 10007, 0	
[7/10/18 04:06PM]	Picked up an item (Id: Item [id=987, amount=1], Amount: 1) at Position: 2745, 10007, 0	
[7/10/18 04:06PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2744, 10008, 0	
[7/10/18 04:06PM]	Picked up an item (Id: Item [id=12159, amount=4], Amount: 4) at Position: 2744, 10008, 0	
[7/10/18 04:07PM]	Picked up an item (Id: Item [id=985, amount=1], Amount: 1) at Position: 2744, 10008, 0	
[7/10/18 04:07PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2745, 10007, 0	
[7/10/18 04:08PM]	Picked up an item (Id: Item [id=203, amount=1], Amount: 1) at Position: 2744, 10008, 0	
[7/10/18 04:08PM]	Picked up an item (Id: Item [id=555, amount=75], Amount: 75) at Position: 2745, 10007, 0	
[7/10/18 04:08PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2745, 10007, 0	
[7/10/18 04:08PM]	Dropped Item (Id: Item [id=253, amount=1], Amount: 1) at Position: 2745, 10007, 0	
[7/10/18 04:08PM]	Picked up an item (Id: Item [id=201, amount=1], Amount: 1) at Position: 2745, 10007, 0	
[7/10/18 04:08PM]	Picked up an item (Id: Item [id=207, amount=1], Amount: 1) at Position: 2745, 10008, 0	
[7/10/18 04:08PM]	Dropped Item (Id: Item [id=251, amount=1], Amount: 1) at Position: 2745, 10007, 0	
[7/10/18 04:08PM]	Dropped Item (Id: Item [id=229, amount=1], Amount: 1) at Position: 2745, 10007, 0	
[7/10/18 04:08PM]	Picked up an item (Id: Item [id=12158, amount=5], Amount: 5) at Position: 2745, 10007, 0	
[7/10/18 04:09PM]	Dropped Item (Id: Item [id=229, amount=1], Amount: 1) at Position: 2744, 10006, 0	
[7/10/18 04:09PM]	Picked up an item (Id: Item [id=207, amount=1], Amount: 1) at Position: 2743, 10004, 0	
[7/10/18 04:09PM]	Picked up an item (Id: Item [id=12158, amount=5], Amount: 5) at Position: 2743, 10004, 0	
[7/10/18 04:09PM]	Picked up an item (Id: Item [id=12160, amount=3], Amount: 3) at Position: 2742, 10005, 0	
[7/10/18 04:10PM]	Picked up an item (Id: Item [id=12159, amount=6], Amount: 6) at Position: 2743, 10005, 0	
[7/10/18 04:10PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2742, 10006, 0	
[7/10/18 04:10PM]	Picked up an item (Id: Item [id=12160, amount=5], Amount: 5) at Position: 2742, 10004, 0	
[7/10/18 04:10PM]	Picked up an item (Id: Item [id=10159, amount=2], Amount: 2) at Position: 2742, 10004, 0	
[7/10/18 04:11PM]	Picked up an item (Id: Item [id=555, amount=75], Amount: 75) at Position: 2742, 10002, 0	
[7/10/18 04:11PM]	Picked up an item (Id: Item [id=561, amount=7], Amount: 7) at Position: 2744, 10004, 0	
[7/10/18 04:11PM]	Picked up an item (Id: Item [id=987, amount=1], Amount: 1) at Position: 2744, 10006, 0	
[7/10/18 04:12PM]	Picked up an item (Id: Item [id=555, amount=75], Amount: 75) at Position: 2745, 10006, 0	
[7/10/18 04:12PM]	Dropped Item (Id: Item [id=229, amount=1], Amount: 1) at Position: 2744, 10007, 0	
[7/10/18 04:12PM]	Picked up an item (Id: Item [id=2714, amount=1], Amount: 1) at Position: 2744, 10007, 0	
[7/10/18 04:13PM]	Picked up an item (Id: Item [id=12160, amount=4], Amount: 4) at Position: 2743, 10003, 0	
[7/10/18 04:13PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2743, 10002, 0	
[7/10/18 04:13PM]	Picked up an item (Id: Item [id=12159, amount=4], Amount: 4) at Position: 2743, 10002, 0	
[7/10/18 04:14PM]	Picked up an item (Id: Item [id=985, amount=1], Amount: 1) at Position: 2744, 10002, 0	
[7/10/18 04:14PM]	Picked up an item (Id: Item [id=199, amount=1], Amount: 1) at Position: 2743, 10003, 0	
[7/10/18 04:14PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2743, 10004, 0	
[7/10/18 04:14PM]	Dropped Item (Id: Item [id=249, amount=1], Amount: 1) at Position: 2743, 10004, 0	
[7/10/18 04:14PM]	Picked up an item (Id: Item [id=985, amount=1], Amount: 1) at Position: 2743, 10002, 0	
[7/10/18 04:14PM]	Picked up an item (Id: Item [id=12159, amount=3], Amount: 3) at Position: 2743, 10004, 0	
[7/10/18 04:15PM]	Picked up an item (Id: Item [id=2714, amount=1], Amount: 1) at Position: 2743, 10003, 0	
[7/10/18 04:17PM]	Bought Item from shop (8) (Id: 2503, Amount: 1)	
[7/10/18 04:17PM]	Bought Item from shop (8) (Id: 3749, Amount: 1)	
[7/10/18 04:17PM]	Bought Item from shop (8) (Id: 868, Amount: 500)	
[7/10/18 04:17PM]	Bought Item from shop (27) (Id: 2550, Amount: 1)	
[7/10/18 04:17PM]	Bought Item from shop (27) (Id: 3105, Amount: 1)	
[7/10/18 04:17PM]	Bought Item from shop (27) (Id: 2452, Amount: 5)	
[7/10/18 04:21PM]	Picked up an item (Id: Item [id=868, amount=6], Amount: 6) at Position: 1778, 5341, 1	
[7/10/18 04:21PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 1778, 5340, 1	
[7/10/18 04:21PM]	Picked up an item (Id: Item [id=2359, amount=3], Amount: 3) at Position: 1778, 5340, 1	
[7/10/18 04:24PM]	Picked up an item (Id: Item [id=565, amount=27], Amount: 27) at Position: 1778, 5341, 1	
[7/10/18 04:24PM]	Picked up an item (Id: Item [id=868, amount=5], Amount: 5) at Position: 1778, 5340, 1	
[7/10/18 04:24PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 1778, 5340, 1	
[7/10/18 04:24PM]	Picked up an item (Id: Item [id=10159, amount=1], Amount: 1) at Position: 1778, 5340, 1	
[7/10/18 04:24PM]	Picked up an item (Id: Item [id=2359, amount=3], Amount: 3) at Position: 1778, 5340, 1	
[7/10/18 04:26PM]	Picked up an item (Id: Item [id=868, amount=7], Amount: 7) at Position: 1784, 5329, 1	
[7/10/18 04:26PM]	Picked up an item (Id: Item [id=868, amount=1], Amount: 1) at Position: 1784, 5329, 1	
[7/10/18 04:26PM]	Picked up an item (Id: Item [id=2714, amount=1], Amount: 1) at Position: 1784, 5329, 1	
[7/10/18 04:26PM]	Picked up an item (Id: Item [id=830, amount=8], Amount: 8) at Position: 1784, 5329, 1	
[7/10/18 04:26PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 1784, 5329, 1	
[7/10/18 04:28PM]	Picked up an item (Id: Item [id=868, amount=32], Amount: 32) at Position: 1778, 5340, 1	
[7/10/18 04:28PM]	Picked up an item (Id: Item [id=12158, amount=3], Amount: 3) at Position: 1778, 5340, 1	
[7/10/18 04:28PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 1778, 5340, 1	
[7/10/18 04:28PM]	Dropped Item (Id: Item [id=229, amount=1], Amount: 1) at Position: 1778, 5340, 1	
[7/10/18 04:29PM]	Picked up an item (Id: Item [id=868, amount=11], Amount: 11) at Position: 1783, 5328, 1	
[7/10/18 04:29PM]	Picked up an item (Id: Item [id=892, amount=8], Amount: 8) at Position: 1784, 5329, 1	
[7/10/18 04:29PM]	Dropped Item (Id: Item [id=892, amount=8], Amount: 1) at Position: 1784, 5329, 1	
[7/10/18 04:29PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 1784, 5329, 1	
[7/10/18 04:29PM]	Picked up an item (Id: Item [id=811, amount=14], Amount: 14) at Position: 1784, 5329, 1	
[7/10/18 04:32PM]	Dropped Item (Id: Item [id=229, amount=1], Amount: 1) at Position: 1777, 5344, 1	
[7/10/18 04:32PM]	Dropped Item (Id: Item [id=229, amount=1], Amount: 1) at Position: 1777, 5344, 1	
[7/10/18 04:32PM]	Dropped Item (Id: Item [id=229, amount=1], Amount: 1) at Position: 1777, 5344, 1	
[7/10/18 04:32PM]	Picked up an item (Id: Item [id=1432, amount=1], Amount: 1) at Position: 1778, 5343, 1	
[7/10/18 04:32PM]	Picked up an item (Id: Item [id=811, amount=2], Amount: 2) at Position: 1779, 5343, 1	
[7/10/18 04:32PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 1779, 5343, 1	
[7/10/18 04:32PM]	Picked up an item (Id: Item [id=12158, amount=7], Amount: 7) at Position: 1779, 5343, 1	
