[3/7/18 04:52AM]	Valie: f	
[7/5/18 04:37PM]	Pete: cant play this server with that bug	
[7/5/18 04:37PM]	Speedy: i cant move	
[7/5/18 04:37PM]	Pete: alright	
[7/5/18 04:37PM]	Speedy: how	
[7/5/18 04:37PM]	Speedy: ...	
[7/5/18 04:38PM]	Speedy:  ::rape vali	
[7/5/18 04:38PM]	Speedy: oops 	
[7/5/18 04:38PM]	Pete: ya 	
[7/5/18 04:38PM]	Pete: ight i'll try	
[7/5/18 04:39PM]	Speedy: c:\user\(pc name)\cache name 	
[7/5/18 04:39PM]	Speedy: stop it	
[7/5/18 04:39PM]	Speedy: before i rush u 	
[7/5/18 04:39PM]	Speedy: give me gmaul	
[7/5/18 04:39PM]	Speedy: wtf 	
[7/5/18 04:40PM]	Speedy: mmm keep going daddy	
[7/5/18 04:41PM]	Mm: dad pls	
[7/5/18 04:41PM]	Speedy: give me tokhaar kal	
[7/5/18 04:41PM]	Speedy: i've been analy penetrated 	
[7/5/18 04:41PM]	Speedy: i deserve	
[7/5/18 04:41PM]	Speedy: a tok harr kall 	
[7/5/18 04:41PM]	Speedy: yes	
[7/5/18 04:42PM]	Speedy: 1 lobster 	
[7/5/18 04:42PM]	Speedy: very appreciated 	
[7/5/18 04:42PM]	Mm: stfu 	
[7/5/18 04:42PM]	Speedy: i should get 	
[7/5/18 04:42PM]	Speedy: moderator	
[7/5/18 04:42PM]	Speedy: :d 	
[7/5/18 04:42PM]	Mm: are bank tabs broke dad	
[7/5/18 04:43PM]	Mm: o 	
[7/5/18 04:43PM]	Ringleader: mine work	
[7/5/18 04:43PM]	Speedy: ring eater 	
[7/5/18 04:43PM]	Mm: mine dun fkd 	
[7/5/18 04:43PM]	Ringleader: ?	
[7/5/18 04:43PM]	Speedy: fight me 	
[7/5/18 04:43PM]	Mm: uh	
[7/5/18 04:43PM]	Ringleader: ok 	
[7/5/18 04:43PM]	Ringleader: get 53 ranged 	
[7/5/18 04:43PM]	Ringleader: so it's fair	
[7/5/18 04:43PM]	Speedy: lemme grab	
[7/5/18 04:43PM]	Mm: all kinds of sprites along the top now	
[7/5/18 04:43PM]	Speedy: some lvl	
[7/5/18 04:43PM]	Ringleader: ok 	
[7/5/18 04:43PM]	Ringleader: get 36 combat 	
[7/5/18 04:43PM]	Mm: can't see the tab icons 	
[7/5/18 04:43PM]	Speedy: k	
[7/5/18 04:43PM]	Mm: ye 	
[7/5/18 04:44PM]	Mm: says there must be 1+ in first tab 	
[7/5/18 04:44PM]	Mm: but there is 4	
[7/5/18 04:44PM]	Mm: so idk 	
[7/5/18 04:44PM]	Mm: 4 different items 	
[7/5/18 04:44PM]	Mm: got discord? i'll snap pic 	
[7/5/18 04:45PM]	Pete: :(	
[7/5/18 04:45PM]	Pete: still bugged 	
[7/5/18 04:45PM]	Pete: ya 	
[7/5/18 04:46PM]	Pete: my left click & right click are the same thing 	
[7/5/18 04:46PM]	Pete: like instead of being able to right click	
[7/5/18 04:46PM]	Pete: to open an npc menu 	
[7/5/18 04:46PM]	Pete: or whatever 	
[7/5/18 04:46PM]	Pete: it just clicks	
[7/5/18 04:46PM]	Pete: as if i am left clicking 	
[7/5/18 04:46PM]	Pete: nah haha	
[7/5/18 04:46PM]	Pete: let me make another account	
[7/5/18 04:46PM]	Pete: check and see if it does it stilll	
[7/5/18 04:47PM]	Ringleader: wowowow 	
[7/5/18 04:47PM]	Ringleader: cheater	
[7/5/18 04:47PM]	Ringleader: gets 38 combat	
[7/5/18 04:47PM]	Ringleader: instead of 36	
[7/5/18 04:47PM]	Ringleader: ok ok 	
[7/5/18 04:47PM]	Speedy: wasnt paying attention	
[7/5/18 04:47PM]	Ringleader: mm	
[7/5/18 04:47PM]	Pete: still bugged 	
[7/5/18 04:47PM]	Ringleader: u wanna watch	
[7/5/18 04:47PM]	Ringleader: our fight 	
[7/5/18 04:47PM]	Mm: no	
[7/5/18 04:47PM]	Mm: u suck	
[7/5/18 04:47PM]	Ringleader: no i dont 	
[7/5/18 04:47PM]	Mm: oh	
[7/5/18 04:47PM]	Mm: okay then 	
[7/5/18 04:48PM]	Ringleader: ok 	
[7/5/18 04:48PM]	Ringleader: what food 	
[7/5/18 04:48PM]	Ringleader: are u using	
[7/5/18 04:48PM]	Ringleader: buddy-o	
[7/5/18 04:48PM]	Mm: lobsters 	
[7/5/18 04:48PM]	Speedy: sharks 	
[7/5/18 04:48PM]	Ringleader: wow 	
[7/5/18 04:48PM]	Ringleader: big ball;er 	
[7/5/18 04:48PM]	Speedy: go big or go home	
[7/5/18 04:48PM]	Ringleader: ok 	
[7/5/18 04:48PM]	Ringleader: ready noob	
[7/5/18 04:49PM]	Mm: does	
[7/5/18 04:49PM]	Mm: summoning work 	
[7/5/18 04:49PM]	Mm: dad 	
[7/5/18 04:49PM]	Speedy: go 5	
[7/5/18 04:49PM]	Ringleader: gl noob 	
[7/5/18 04:50PM]	Mm: u better 	
[7/5/18 04:50PM]	Ringleader: oo	
[7/5/18 04:50PM]	Ringleader: target 	
[7/5/18 04:50PM]	Mm: oo	
[7/5/18 04:50PM]	Mm: rivetting. 	
[7/5/18 04:51PM]	Ringleader: dm? 	
[7/5/18 04:51PM]	Mm: lucky i'm not 38 or i'd slap you	
[7/5/18 04:51PM]	Ringleader: safer	
[7/5/18 04:51PM]	Speedy: no	
[7/5/18 04:51PM]	Ringleader: fat ass	
[7/5/18 04:51PM]	Ringleader: which one 	
[7/5/18 04:51PM]	Ringleader: out 	
[7/5/18 04:51PM]	Speedy: ez 	
[7/5/18 04:52PM]	Speedy: ojer 	
[7/5/18 04:52PM]	Speedy: pjer	
[7/5/18 04:52PM]	Iron pete: vali 	
[7/5/18 04:52PM]	Iron pete: can you help now	
[7/5/18 04:52PM]	Speedy: ring 	
[7/5/18 04:52PM]	Speedy: rematch 	
[7/5/18 04:52PM]	Ringleader: im broke 	
[7/5/18 04:52PM]	Speedy: vali 	
[7/5/18 04:52PM]	Speedy: give us 5m	
[7/5/18 04:52PM]	Speedy: cmon	
[7/5/18 04:52PM]	Speedy: dont be stingy 	
[7/5/18 04:52PM]	Speedy: we tryna pk 	
[7/5/18 04:53PM]	Speedy: lemme thieve for abit	
[7/5/18 04:53PM]	Speedy: get some cash	
[7/5/18 04:54PM]	Iron pete: ya 	
[7/5/18 04:54PM]	Iron pete: nope 	
[7/5/18 04:54PM]	Mm: is it the clicking bug?	
[7/5/18 04:54PM]	Mm: ye 	
[7/5/18 04:54PM]	Mm: he's on 9 or higher	
[7/5/18 04:54PM]	Mm: theres a fix on rs	
[7/5/18 04:55PM]	Speedy: rsps requires 	
[7/5/18 04:55PM]	Speedy: java 8 	
[7/5/18 04:55PM]	Speedy: not 9	
[7/5/18 04:55PM]	Iron pete: 10.0.1	
[7/5/18 04:55PM]	Speedy: if youre on 9	
[7/5/18 04:55PM]	Speedy: rip	
[7/5/18 04:55PM]	Speedy: the handles 	
[7/5/18 04:55PM]	Mm: have to downgrade till client fixed 	
[7/5/18 04:55PM]	Speedy: for java 	
[7/5/18 04:55PM]	Speedy: are not added 	
[7/5/18 04:55PM]	Speedy: in 9 	
[7/5/18 04:55PM]	Speedy: vali 	
[7/5/18 04:55PM]	Speedy: add prices the items 	
[7/5/18 04:55PM]	Speedy: from stalls 	
[7/5/18 04:56PM]	Speedy: the silk should give like 2k per 	
[7/5/18 04:56PM]	Speedy: item 	
[7/5/18 04:56PM]	Speedy: plus the cash 	
[7/5/18 04:56PM]	Speedy: u get	
[7/5/18 04:56PM]	Speedy: mhm 	
[7/5/18 04:56PM]	Mm: gl noob 	
[7/5/18 04:56PM]	Speedy: ok 	
[7/5/18 04:56PM]	Speedy: gl 	
[7/5/18 04:56PM]	Speedy: 1sec	
[7/5/18 04:57PM]	Speedy: ok 	
[7/5/18 04:57PM]	Speedy: come watch	
[7/5/18 04:57PM]	Iron pete: ok thank you very much 	
[7/5/18 04:57PM]	Speedy: vali come watch me	
[7/5/18 04:57PM]	Speedy: drop this kid 	
[7/5/18 04:57PM]	Iron pete: i'd like to play the server but i can't with that bug	
[7/5/18 04:57PM]	Iron pete: ok much appreciated 	
[7/5/18 04:58PM]	Mm: ye 	
[7/5/18 04:58PM]	Speedy: ye he is 	
[7/5/18 04:58PM]	Mm: i need 2h rip 	
[7/5/18 04:58PM]	Mm: not in shops 	
[7/5/18 04:59PM]	Speedy: i need recoil	
[7/5/18 04:59PM]	Mm: get good	
[7/5/18 04:59PM]	Speedy: mine broke 	
[7/5/18 04:59PM]	Speedy: dont run	
[7/5/18 04:59PM]	Speedy: thrasher	
[7/5/18 04:59PM]	Speedy: give me 2pkp 	
[7/5/18 04:59PM]	Speedy: he didnt have enough wealtj 	
[7/5/18 04:59PM]	Speedy: to give pk	
[7/5/18 04:59PM]	Speedy: p	
[7/5/18 04:59PM]	Speedy: fk that bs 	
[7/5/18 05:00PM]	Speedy: my knives 	
[7/5/18 05:00PM]	Speedy: tri hard	
[7/5/18 05:00PM]	Speedy: im just god	
[7/5/18 05:00PM]	Speedy: ez clrd 	
[7/5/18 05:01PM]	Iron pete: ya 	
[7/5/18 05:01PM]	Speedy: vali 	
[7/5/18 05:01PM]	Iron pete: ok 	
[7/5/18 05:01PM]	Speedy: im dropping everyone	
[7/5/18 05:01PM]	Iron pete: ok 	
[7/5/18 05:01PM]	Speedy: get lvl 38	
[7/5/18 05:02PM]	Speedy: nah get lvl 45	
[7/5/18 05:02PM]	Speedy: ok 	
[7/5/18 05:02PM]	Speedy: get lvl 45	
[7/5/18 05:02PM]	Speedy: k	
[7/5/18 05:06PM]	Iron pete: ok 	
[7/5/18 05:06PM]	Iron pete: thanks 	
[7/5/18 05:08PM]	Iron pete: like redownload the client? 	
[7/5/18 05:08PM]	Iron pete: alrightok 	
[7/5/18 05:10PM]	Pete: yo 	
[7/5/18 05:10PM]	Pete: its fixed 	
[7/5/18 05:10PM]	Pete: but i got reset 	
[7/5/18 05:10PM]	Pete: had 63 thieving 	
[7/5/18 05:10PM]	Pete: lolllllllllllllll 	
[7/5/18 05:10PM]	Pete: you right 	
[7/5/18 05:10PM]	Iron pete: you thew real mvp	
[7/5/18 05:10PM]	Iron pete: yo thanks a lot 	
[7/5/18 05:10PM]	Iron pete: very much appreciated	
[7/5/18 05:11PM]	Iron pete: thanks! i think i will	
[7/5/18 05:11PM]	Speedy: vali 	
[7/5/18 05:11PM]	Speedy: im rdy for u 	
[7/5/18 05:11PM]	Iron pete: nice 	
[7/5/18 05:11PM]	Speedy: cant tell u	
[7/5/18 05:11PM]	Iron pete: i got $5 on vali	
[7/5/18 05:11PM]	Iron pete: :p	
[7/5/18 05:11PM]	Speedy: just get my combat lvl	
[7/5/18 05:11PM]	Speedy: nooo	
[7/5/18 05:11PM]	Speedy: dont  	
[7/5/18 05:11PM]	Speedy: i swear	
[7/5/18 05:11PM]	Speedy: dont	
[7/5/18 05:11PM]	Tinydick32: yyc lyf	
[7/5/18 05:11PM]	Speedy: just get my cmb lvl 	
[7/5/18 05:11PM]	Speedy: 1 defence tho	
[7/5/18 05:12PM]	Tinydick32: yh 	
[7/5/18 05:12PM]	Tinydick32: yh 	
[7/5/18 05:12PM]	Tinydick32: nick	
[7/5/18 05:12PM]	Tinydick32: yhyh	
[7/5/18 05:12PM]	Tinydick32: nm g wbu	
[7/5/18 05:12PM]	Tinydick32:  o lemme look	
[7/5/18 05:12PM]	Tinydick32: was hitting you up about an rsps ;p 	
[7/5/18 05:13PM]	Tinydick32: runite	
[7/5/18 05:13PM]	Tinydick32: was looking for someone local to dev w  me 	
[7/5/18 05:13PM]	Speedy: rdy	
[7/5/18 05:13PM]	Tinydick32: word 	
[7/5/18 05:13PM]	Speedy: *i'm abot to get dropped by this guy* 	
[7/5/18 05:13PM]	Speedy: say things correctly 	
[7/5/18 05:14PM]	Speedy: idk	
[7/5/18 05:14PM]	Speedy: but	
[7/5/18 05:14PM]	Speedy: im laggy as hell	
[7/5/18 05:15PM]	Speedy: u rdy	
[7/5/18 05:15PM]	Tinydick32: l0l ty	
[7/5/18 05:15PM]	Speedy: no dragon bolts 	
[7/5/18 05:15PM]	Speedy: cuz i cant 	
[7/5/18 05:15PM]	Speedy: get them	
[7/5/18 05:15PM]	Speedy: no gmauls 	
[7/5/18 05:15PM]	Speedy: i cant get	
[7/5/18 05:17PM]	Speedy: dds as	
[7/5/18 05:17PM]	Speedy: gf kid 	
[7/5/18 05:17PM]	Speedy: lolololo	
[7/5/18 05:17PM]	Speedy: wait 	
[7/5/18 05:17PM]	Speedy: how	
[7/5/18 05:17PM]	Speedy: bneck	
[7/5/18 05:17PM]	Iron pete: nice name hah 	
[7/5/18 05:17PM]	Speedy: ?	
[7/5/18 05:17PM]	Tinydick32: thx daddy 	
[7/5/18 05:18PM]	Speedy: oh	
[7/5/18 05:18PM]	Speedy: lol 	
[7/5/18 05:18PM]	Speedy: u need bneck 	
[7/5/18 05:18PM]	Iron pete: easy 	
[7/5/18 05:18PM]	Speedy: rematch 	
[7/5/18 05:18PM]	Speedy: get bneck 	
[7/5/18 05:18PM]	Speedy: use glory while ranging	
[7/5/18 05:18PM]	Speedy: gives +2 range max hit 	
[7/5/18 05:18PM]	Speedy: then switch to bneck 	
[7/5/18 05:18PM]	Speedy: :d 	
[7/5/18 05:18PM]	Situations: s 	
[7/5/18 05:18PM]	Situations: asd 	
[7/5/18 05:18PM]	Speedy: im a pro pker 	
[7/5/18 05:18PM]	Speedy: lol 	
[7/5/18 05:19PM]	Iron pete: ayee 	
[7/5/18 05:20PM]	Iron pete: ight cool 	
[7/5/18 05:20PM]	Iron pete: its al lgood 	
[7/5/18 05:20PM]	Iron pete: just telling ya	
[7/5/18 05:21PM]	Speedy: vali 	
[7/5/18 05:21PM]	Speedy: rm 	
[7/5/18 05:21PM]	Speedy: :d 	
[7/5/18 05:22PM]	Speedy: k	
[7/5/18 05:22PM]	Situations: ;;master 	
[7/5/18 05:24PM]	Speedy: 50	
[7/5/18 05:24PM]	Speedy: 3 0s	
[7/5/18 05:24PM]	Speedy: aww 	
[7/5/18 05:24PM]	Speedy: got no pkp	
[7/5/18 05:25PM]	Iron pete: nice haha	
[7/5/18 05:27PM]	Speedy: what was added	
[7/5/18 05:27PM]	Speedy: ok 	
[7/5/18 05:28PM]	Speedy: where is pkp store	
[7/5/18 05:30PM]	Speedy: yo 	
[7/5/18 05:30PM]	Speedy: yo 	
[7/5/18 05:30PM]	Iron pete: .	
[7/5/18 05:30PM]	Speedy: ahh your staff 	
[7/5/18 05:30PM]	Speedy: thats why 	
[7/5/18 05:30PM]	Speedy: i was gonna be like no way you maxed out 	
[7/5/18 05:30PM]	Speedy: :p	
[7/5/18 05:31PM]	Speedy: oh hybrid 	
[7/5/18 05:31PM]	Speedy: im a pro	
[7/5/18 05:31PM]	Speedy: command	
[7/5/18 05:31PM]	Speedy: command	
[7/5/18 05:31PM]	Speedy: for curses	
[7/5/18 05:31PM]	Speedy: vali 	
[7/5/18 05:32PM]	Speedy: command to get	
[7/5/18 05:32PM]	Speedy: curses 	
[7/5/18 05:32PM]	Speedy: prayers 	
[7/5/18 05:32PM]	Speedy: nop	
[7/5/18 05:32PM]	Speedy: :(	
[7/5/18 05:34PM]	Speedy: add freeze timers	
[7/5/18 05:34PM]	Speedy: and veng timers	
[7/5/18 05:34PM]	Speedy: etc	
[7/5/18 05:34PM]	Speedy: would be great 	
[7/5/18 05:34PM]	Speedy: smited? 	
[7/5/18 05:34PM]	Speedy: lol 	
[7/5/18 05:35PM]	Speedy: smited 	
[7/5/18 05:35PM]	Speedy: lol 	
[7/5/18 05:35PM]	Speedy: give me max	
[7/5/18 05:35PM]	Speedy: i wanna brid	
[7/5/18 05:35PM]	Speedy: :d 	
[7/5/18 05:36PM]	Speedy: i wanna hybrid 	
[7/5/18 05:37PM]	Speedy:  ::hybrid 	
[7/5/18 05:37PM]	Speedy: wait hold up	
[7/5/18 05:37PM]	Speedy: did i just see this guy hit a 30 	
[7/5/18 05:37PM]	Speedy: freeze	
[7/5/18 05:37PM]	Speedy: with a range	
[7/5/18 05:37PM]	Speedy: top	
[7/5/18 05:37PM]	Speedy: im done	
[7/5/18 05:38PM]	Speedy: dead	
[7/5/18 05:38PM]	Speedy: he legit hit a 30	
[7/5/18 05:38PM]	Speedy: with range gear	
[7/5/18 05:38PM]	Speedy: on	
[7/5/18 05:38PM]	Speedy: lol 	
[7/5/18 05:38PM]	Speedy: try maging in melle gear	
[7/5/18 05:38PM]	Speedy: see if it works	
[7/5/18 05:38PM]	Speedy: try again 	
[7/5/18 05:38PM]	Speedy: wtf 	
[7/5/18 05:38PM]	Speedy: lol 	
[7/5/18 05:38PM]	Speedy: 18 in melle	
[7/5/18 05:38PM]	Speedy: ,age	
[7/5/18 05:38PM]	Speedy: im dead	
[7/5/18 05:38PM]	Speedy: no ned to switch	
[7/5/18 05:38PM]	Speedy: just mage	
[7/5/18 05:38PM]	Speedy: in melle 	
[7/5/18 05:39PM]	Speedy: damn\ 	
[7/5/18 05:39PM]	Speedy: gf	
[7/5/18 05:39PM]	Speedy: sit 	
[7/5/18 05:39PM]	Speedy: he hit a 18 on you 	
[7/5/18 05:39PM]	Speedy: in melle 	
[7/5/18 05:39PM]	Speedy: gear 	
[7/5/18 05:39PM]	Speedy: using mage 	
[7/5/18 05:39PM]	Speedy: lol 	
[7/5/18 05:40PM]	Speedy: ok 	
[7/5/18 05:40PM]	Speedy: bcuz 	
[7/5/18 05:40PM]	Speedy: thats not rights 	
[7/5/18 05:40PM]	Speedy: right	
[7/5/18 05:40PM]	Speedy: 18 in melle gear	
[7/5/18 05:40PM]	Speedy: no need for switching lol 	
[7/5/18 05:40PM]	Speedy: just keep wearing	
[7/5/18 05:40PM]	Speedy: melle	
[7/5/18 05:40PM]	Speedy: lol 	
[7/5/18 05:40PM]	Speedy: yeah but	
[7/5/18 05:40PM]	Speedy: i dare u to go 	
[7/5/18 05:40PM]	Speedy: on real rs	
[7/5/18 05:40PM]	Speedy: and try hit a 18 	
[7/5/18 05:40PM]	Speedy: in melle gear 	
[7/5/18 05:41PM]	Speedy: not 	
[7/5/18 05:41PM]	Speedy: not melle hit	
[7/5/18 05:41PM]	Speedy: melle effects strength of mage	
[7/5/18 05:41PM]	Speedy: yeah 	
[7/5/18 05:41PM]	Speedy: he was wearing 	
[7/5/18 05:41PM]	Speedy: melle	
[7/5/18 05:41PM]	Speedy: and used mage 	
[7/5/18 05:41PM]	Speedy: and hit a 18	
[7/5/18 05:41PM]	Speedy: not possible	
[7/5/18 05:41PM]	Speedy: in melle you're supposed to be	
[7/5/18 05:41PM]	Speedy: negative	
[7/5/18 05:41PM]	Speedy: mage attack 	
[7/5/18 05:44PM]	Speedy: mage	
[7/5/18 05:44PM]	Speedy: in melle 	
[7/5/18 05:44PM]	Speedy: try it 	
[7/5/18 05:45PM]	Speedy: ok 	
[7/5/18 05:45PM]	Speedy: better 	
[7/5/18 05:45PM]	Speedy: now	
[7/5/18 05:45PM]	Speedy: you shouldnt even hit 	
[7/5/18 05:45PM]	Speedy: wait what 	
[7/5/18 05:45PM]	Speedy: normal hit 	
[7/5/18 05:45PM]	Speedy: with ags	
[7/5/18 05:45PM]	Speedy: wtf 	
[7/5/18 05:45PM]	Speedy: is that anim 	
[7/5/18 05:45PM]	Speedy: lol 	
[7/5/18 05:45PM]	Speedy: atk again 	
[7/5/18 05:45PM]	Speedy: what is that anim 	
[7/5/18 05:45PM]	Speedy: lol 	
[7/5/18 05:46PM]	Speedy: quick ass hit	
[7/5/18 05:46PM]	Speedy: me 	
[7/5/18 05:46PM]	Speedy: sd	
[7/5/18 05:46PM]	Speedy: im on sd 	
[7/5/18 05:46PM]	Speedy: oof	
[7/5/18 05:46PM]	Speedy: you should make it 	
[7/5/18 05:46PM]	Speedy: drop boxes 	
[7/5/18 05:46PM]	Speedy: on kills 	
[7/5/18 05:46PM]	Speedy: so pking is more rewarding	
[7/5/18 05:47PM]	Speedy: rewards should be like items like whips	
[7/5/18 05:47PM]	Speedy: gmauls	
[7/5/18 05:47PM]	Speedy: dbows 	
[7/5/18 05:47PM]	Speedy: stuff like that	
[7/5/18 05:47PM]	Speedy: yeah but no 	
[7/5/18 05:47PM]	Speedy: shops added for it	
[7/5/18 05:47PM]	Speedy: yet	
[7/5/18 05:47PM]	Speedy: like targets	
[7/5/18 05:47PM]	Speedy: if you kill a target	
[7/5/18 05:47PM]	Speedy: you should get a crate 	
[7/5/18 05:47PM]	Speedy: or key	
[7/5/18 05:47PM]	Speedy: that opens a crate	
[7/5/18 05:47PM]	Speedy: and has items	
[7/5/18 05:47PM]	Speedy: progression 	
[7/5/18 05:47PM]	Speedy: nothing op	
[7/5/18 05:47PM]	Speedy: like ags	
[7/5/18 05:48PM]	Speedy: like a whip	
[7/5/18 05:48PM]	Speedy: or 250 dbolts e 	
[7/5/18 05:48PM]	Speedy: 500 sharks	
[7/5/18 05:48PM]	Speedy: stuff like that	
[7/5/18 05:48PM]	Speedy: nothing op	
[7/5/18 05:48PM]	Speedy: br 	
[7/5/18 05:48PM]	Speedy: b	
[7/5/18 05:49PM]	Speedy: dieeee	
[7/5/18 05:50PM]	Speedy: ok 	
[7/5/18 05:51PM]	Speedy: 00000000000000000	
[7/5/18 05:51PM]	Speedy: god damn tank	
[7/5/18 05:51PM]	Speedy: nope 	
[7/5/18 05:52PM]	Speedy:  ::spec 	
[7/5/18 05:52PM]	Speedy: cmon	
[7/5/18 05:52PM]	Speedy: ez 	
[7/5/18 05:52PM]	Speedy: ....	
[7/5/18 05:53PM]	Speedy: add more content	
[7/5/18 05:53PM]	Speedy: honestly 	
[7/5/18 05:53PM]	Speedy: id say 	
[7/5/18 05:53PM]	Speedy: if u want 	
[7/5/18 05:53PM]	Speedy: a good server 	
[7/5/18 05:53PM]	Speedy: different from the others 	
[7/5/18 05:53PM]	Speedy: make it 	
[7/5/18 05:53PM]	Speedy: into a eco 	
[7/5/18 05:53PM]	Speedy: but pk related 	
[7/5/18 05:53PM]	Speedy: eco	
[7/5/18 05:54PM]	Speedy: nope 	
[7/5/18 05:54PM]	Speedy: you need to revamp stuff still	
[7/5/18 05:54PM]	Speedy: you need to add more pk related content	
[7/5/18 05:54PM]	Speedy: not just pkp	
[7/5/18 05:54PM]	Speedy: and bh 	
[7/5/18 05:54PM]	Speedy: yeah 	
[7/5/18 05:54PM]	Speedy: but you need something	
[7/5/18 05:54PM]	Speedy: nothing else has 	
[7/5/18 05:54PM]	Speedy: or else 	
[7/5/18 05:54PM]	Speedy: its just another server 	
[7/5/18 05:55PM]	Speedy: make npcs 	
[7/5/18 05:55PM]	Speedy: yes	
[7/5/18 05:55PM]	Speedy: 1 good idea 	
[7/5/18 05:55PM]	Speedy: you know spawnpk right	
[7/5/18 05:55PM]	Speedy: you know spawnpk 	
[7/5/18 05:55PM]	Speedy: ?	
[7/5/18 05:55PM]	Speedy: ok watch a vid	
[7/5/18 05:55PM]	Speedy: and make your server like that 	
[7/5/18 05:55PM]	Speedy: but make it different	
[7/5/18 05:55PM]	Speedy: by not destroying it with customs	
[7/5/18 05:56PM]	Speedy: you can add simple customs	
[7/5/18 05:56PM]	Speedy: but not a death amount	
[7/5/18 05:56PM]	Speedy: yeah but	
[7/5/18 05:56PM]	Speedy: everything is so much alike 	
[7/5/18 05:56PM]	Speedy: now	
[7/5/18 05:56PM]	Speedy: you need to have something different from the rest	
[7/5/18 05:56PM]	Speedy: to really thrive	
[7/5/18 05:56PM]	Speedy: yeah 	
[7/5/18 05:57PM]	Speedy: i know the developer personally for dawntained	
[7/5/18 05:57PM]	Speedy: mhm 	
[7/5/18 05:57PM]	Speedy: i had that server idea 	
[7/5/18 05:57PM]	Speedy: 2 years ago	
[7/5/18 05:57PM]	Speedy: i have server ideas 	
[7/5/18 05:57PM]	Speedy: that no server has 	
[7/5/18 05:57PM]	Speedy: i even have the custom models	
[7/5/18 05:57PM]	Speedy: for items and bosses 	
[7/5/18 05:58PM]	Speedy: yeah 	
[7/5/18 05:58PM]	Speedy: but im not saying 	
[7/5/18 05:58PM]	Speedy: to add	
[7/5/18 05:58PM]	Speedy: crazy customs	
[7/5/18 05:58PM]	Speedy: just tier upgrades 	
[7/5/18 05:58PM]	Speedy: like for pkers	
[7/5/18 05:58PM]	Speedy: instead of ags	
[7/5/18 05:58PM]	Speedy: being the most powerful item 	
[7/5/18 05:58PM]	Speedy: add a armadyl godsword + 	
[7/5/18 05:58PM]	Speedy: or something new 	
[7/5/18 05:59PM]	Speedy: that makes the pking 	
[7/5/18 05:59PM]	Speedy: interesting	
[7/5/18 05:59PM]	Speedy: then thats when pvm 	
[7/5/18 05:59PM]	Speedy: comes into play 	
[7/5/18 05:59PM]	Speedy: if you wnana make a ags +	
[7/5/18 05:59PM]	Speedy: you gotta kill kraken	
[7/5/18 05:59PM]	Speedy: for the + piece 	
[7/5/18 05:59PM]	Speedy: see\ 	
[7/5/18 05:59PM]	Speedy: something like that	
