[3/8/18 01:57AM]	Dropped Item (Id: Item [id=11694, amount=1], Amount: 1) at Position: 3093, 3491, 0	
[5/21/18 03:41PM]	Picked up an item (Id: Item [id=1147, amount=1], Amount: 1) at Position: 3087, 3498, 0	
[5/21/18 03:41PM]	Picked up an item (Id: Item [id=1197, amount=1], Amount: 1) at Position: 3087, 3498, 0	
[5/21/18 03:41PM]	Picked up an item (Id: Item [id=592, amount=1], Amount: 1) at Position: 3086, 3498, 0	
[5/23/18 11:06PM]	Dropped Item (Id: Item [id=19748, amount=1], Amount: 1) at Position: 3086, 3517, 0	
[7/4/18 02:28AM]	Thrasher has won 1 Amulet of glory (4) from Vali.	
[7/4/18 02:28AM]	Thrasher has won 1 Zamorak team hood from Vali.	
[7/4/18 02:28AM]	Thrasher has won 1 Zamorak team cape from Vali.	
[7/4/18 02:28AM]	Thrasher has won 1 Ahrim's robetop from Vali.	
[7/4/18 02:28AM]	Thrasher has won 1 Ring of duelling (8) from Vali.	
[7/4/18 02:28AM]	Thrasher has won 1 Granite maul from Vali.	
[7/4/18 02:28AM]	Thrasher has won 1 Ahrim's robeskirt from Vali.	
[7/4/18 02:28AM]	Thrasher has won 1 Staff of light from Vali.	
---[7/5/18 02:36AM]	---
Thrasher has received 24000 Coins from Vali
---[7/5/18 02:36AM]	---
Thrasher has given 1 Amulet Of Glory (4) to Vali
[7/5/18 05:00PM]	Picked up an item (Id: Item [id=868, amount=2], Amount: 2) at Position: 3088, 3528, 0	
[7/5/18 05:00PM]	Picked up an item (Id: Item [id=10159, amount=2], Amount: 2) at Position: 3088, 3528, 0	
[7/5/18 05:00PM]	Picked up an item (Id: Item [id=868, amount=4], Amount: 4) at Position: 3088, 3528, 0	
[7/5/18 05:00PM]	Picked up an item (Id: Item [id=868, amount=1], Amount: 1) at Position: 3089, 3527, 0	
[7/8/18 06:28PM]	Bought Item from shop (8) (Id: 2491, Amount: 1)	
[7/8/18 06:28PM]	Bought Item from shop (8) (Id: 2497, Amount: 1)	
[7/8/18 06:28PM]	Bought Item from shop (8) (Id: 2503, Amount: 1)	
[7/8/18 06:28PM]	Bought Item from shop (8) (Id: 3749, Amount: 1)	
[7/8/18 06:28PM]	Bought Item from shop (8) (Id: 10499, Amount: 1)	
[7/8/18 06:28PM]	Bought Item from shop (8) (Id: 9185, Amount: 1)	
[7/8/18 06:28PM]	Bought Item from shop (8) (Id: 9144, Amount: 400)	
[7/8/18 06:28PM]	Bought Item from shop (7) (Id: 1201, Amount: 1)	
[7/8/18 06:28PM]	Bought Item from shop (27) (Id: 1712, Amount: 5)	
[7/8/18 06:28PM]	Bought Item from shop (27) (Id: 3105, Amount: 1)	
[7/8/18 06:28PM]	Bought Item from shop (27) (Id: 2550, Amount: 1)	
---[7/9/18 01:07AM]	---
Thrasher has given 100000 Null to Vali
[7/9/18 01:22AM]	Dropped Item (Id: Item [id=229, amount=1], Amount: 1) at Position: 2861, 5354, 2	
[7/26/18 03:03AM]	Dropped Item (Id: Item [id=15272, amount=1], Amount: 1) at Position: 3091, 3955, 0	
[7/26/18 03:03AM]	Dropped Item (Id: Item [id=15272, amount=1], Amount: 1) at Position: 3091, 3955, 0	
[7/26/18 03:03AM]	Dropped Item (Id: Item [id=15272, amount=1], Amount: 1) at Position: 3091, 3955, 0	
