[7/10/18 02:00PM]	Sent Private-Message to User: vali and said 'hey'	
[7/10/18 02:49PM]	Recieved Private-Message from User: Vali which said 'should i tell him you were mod before '	
[7/10/18 02:49PM]	Sent Private-Message to User: vali and said ''raymond' or thug'	
[7/10/18 02:49PM]	Recieved Private-Message from User: Vali which said 'you'	
[7/10/18 02:49PM]	Sent Private-Message to User: vali and said 'up2u'	
[7/10/18 02:49PM]	Sent Private-Message to User: vali and said 'just say im a player '	
[7/10/18 02:49PM]	Sent Private-Message to User: vali and said 'that i donated 10 '	
[7/10/18 02:49PM]	Recieved Private-Message from User: Vali which said 'kk'	
---[7/10/18 03:29PM]	---
Raymond has received 2700976 Coins from Thug
[7/10/18 03:29PM]	Bought Item from shop (8) (Id: 2503, Amount: 1)	
[7/10/18 03:29PM]	Bought Item from shop (8) (Id: 10156, Amount: 1)	
[7/10/18 03:29PM]	Bought Item from shop (8) (Id: 10159, Amount: 250)	
[7/10/18 03:29PM]	Bought Item from shop (8) (Id: 868, Amount: 10)	
[7/10/18 03:29PM]	Bought Item from shop (8) (Id: 868, Amount: 250)	
[7/10/18 03:30PM]	Bought Item from shop (8) (Id: 863, Amount: 500)	
[7/10/18 03:30PM]	Bought Item from shop (8) (Id: 863, Amount: 500)	
[7/10/18 03:30PM]	Bought Item from shop (8) (Id: 10499, Amount: 1)	
[7/10/18 03:30PM]	Picked up an item (Id: Item [id=882, amount=4], Amount: 4) at Position: 2707, 3719, 0	
[7/10/18 03:33PM]	Picked up an item (Id: Item [id=868, amount=2], Amount: 2) at Position: 3067, 10257, 0	
[7/10/18 03:39PM]	Picked up an item (Id: Item [id=868, amount=2], Amount: 2) at Position: 3067, 10256, 0	
[7/10/18 03:39PM]	Picked up an item (Id: Item [id=868, amount=3], Amount: 3) at Position: 3067, 10257, 0	
[7/10/18 03:39PM]	Picked up an item (Id: Item [id=868, amount=1], Amount: 1) at Position: 3067, 10257, 0	
[7/10/18 03:39PM]	Picked up an item (Id: Item [id=868, amount=2], Amount: 2) at Position: 3069, 10258, 0	
[7/10/18 03:40PM]	Picked up an item (Id: Item [id=868, amount=1], Amount: 1) at Position: 3067, 10258, 0	
[7/10/18 03:40PM]	Picked up an item (Id: Item [id=868, amount=1], Amount: 1) at Position: 3069, 10258, 0	
[7/10/18 03:40PM]	Picked up an item (Id: Item [id=868, amount=1], Amount: 1) at Position: 3067, 10257, 0	
[7/10/18 03:40PM]	Picked up an item (Id: Item [id=868, amount=2], Amount: 2) at Position: 3067, 10256, 0	
[7/10/18 03:42PM]	Picked up an item (Id: Item [id=868, amount=1], Amount: 1) at Position: 3068, 10256, 0	
[7/10/18 03:44PM]	Picked up an item (Id: Item [id=868, amount=3], Amount: 3) at Position: 3068, 10257, 0	
[7/10/18 03:45PM]	Picked up an item (Id: Item [id=868, amount=1], Amount: 1) at Position: 3068, 10257, 0	
[7/10/18 03:45PM]	Picked up an item (Id: Item [id=868, amount=1], Amount: 1) at Position: 3067, 10258, 0	
[7/10/18 04:00PM]	Picked up an item (Id: Item [id=10159, amount=2], Amount: 2) at Position: 3014, 3847, 0	
[7/10/18 04:00PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 3014, 3849, 0	
[7/10/18 04:01PM]	Picked up an item (Id: Item [id=12158, amount=7], Amount: 7) at Position: 3015, 3846, 0	
[7/10/18 04:08PM]	Picked up an item (Id: Item [id=12158, amount=6], Amount: 6) at Position: 3016, 3850, 0	
[7/10/18 04:08PM]	Picked up an item (Id: Item [id=985, amount=1], Amount: 1) at Position: 3015, 3851, 0	
[7/10/18 04:08PM]	Picked up an item (Id: Item [id=592, amount=1], Amount: 1) at Position: 3015, 3851, 0	
[7/10/18 04:08PM]	Picked up an item (Id: Item [id=201, amount=1], Amount: 1) at Position: 3015, 3851, 0	
[7/10/18 04:08PM]	Picked up an item (Id: Item [id=201, amount=1], Amount: 1) at Position: 3015, 3851, 0	
[7/10/18 04:08PM]	Picked up an item (Id: Item [id=199, amount=1], Amount: 1) at Position: 3015, 3851, 0	
[7/10/18 04:08PM]	Picked up an item (Id: Item [id=12163, amount=1], Amount: 1) at Position: 3014, 3852, 0	
[7/10/18 04:13PM]	Picked up an item (Id: Item [id=12159, amount=3], Amount: 3) at Position: 3014, 3852, 0	
[7/10/18 04:13PM]	Picked up an item (Id: Item [id=12163, amount=1], Amount: 1) at Position: 3014, 3852, 0	
[7/10/18 04:13PM]	Picked up an item (Id: Item [id=199, amount=1], Amount: 1) at Position: 3014, 3852, 0	
[7/10/18 04:13PM]	Picked up an item (Id: Item [id=592, amount=1], Amount: 1) at Position: 3014, 3852, 0	
[7/10/18 04:13PM]	Picked up an item (Id: Item [id=201, amount=1], Amount: 1) at Position: 3014, 3852, 0	
[7/10/18 04:13PM]	Dropped Item (Id: Item [id=592, amount=1], Amount: 1) at Position: 3014, 3852, 0	
[7/10/18 04:13PM]	Dropped Item (Id: Item [id=249, amount=1], Amount: 1) at Position: 3014, 3852, 0	
[7/10/18 04:13PM]	Dropped Item (Id: Item [id=251, amount=1], Amount: 1) at Position: 3014, 3852, 0	
[7/10/18 04:13PM]	Dropped Item (Id: Item [id=251, amount=1], Amount: 1) at Position: 3014, 3852, 0	
[7/10/18 04:13PM]	Dropped Item (Id: Item [id=251, amount=1], Amount: 1) at Position: 3014, 3852, 0	
[7/10/18 04:13PM]	Dropped Item (Id: Item [id=249, amount=1], Amount: 1) at Position: 3014, 3852, 0	
[7/10/18 04:13PM]	Dropped Item (Id: Item [id=592, amount=1], Amount: 1) at Position: 3014, 3852, 0	
[7/10/18 04:13PM]	Picked up an item (Id: Item [id=2714, amount=1], Amount: 1) at Position: 3014, 3852, 0	
[7/10/18 04:14PM]	Picked up an item (Id: Item [id=12158, amount=7], Amount: 7) at Position: 3014, 3851, 0	
[7/10/18 04:14PM]	Picked up an item (Id: Item [id=199, amount=1], Amount: 1) at Position: 3015, 3851, 0	
[7/10/18 04:14PM]	Dropped Item (Id: Item [id=249, amount=1], Amount: 1) at Position: 3015, 3851, 0	
[7/10/18 04:16PM]	Picked up an item (Id: Item [id=12158, amount=1], Amount: 1) at Position: 3014, 3850, 0	
[7/10/18 04:16PM]	Picked up an item (Id: Item [id=12159, amount=5], Amount: 5) at Position: 3015, 3849, 0	
[7/10/18 04:16PM]	Picked up an item (Id: Item [id=985, amount=1], Amount: 1) at Position: 3014, 3852, 0	
[7/10/18 04:16PM]	Picked up an item (Id: Item [id=592, amount=1], Amount: 1) at Position: 3014, 3852, 0	
[7/10/18 04:17PM]	Picked up an item (Id: Item [id=12160, amount=7], Amount: 7) at Position: 3014, 3849, 0	
[7/10/18 04:17PM]	Picked up an item (Id: Item [id=199, amount=1], Amount: 1) at Position: 3014, 3849, 0	
[7/10/18 04:17PM]	Picked up an item (Id: Item [id=199, amount=1], Amount: 1) at Position: 3014, 3849, 0	
[7/10/18 04:17PM]	Dropped Item (Id: Item [id=249, amount=1], Amount: 1) at Position: 3014, 3851, 0	
[7/10/18 04:17PM]	Dropped Item (Id: Item [id=592, amount=1], Amount: 1) at Position: 3014, 3851, 0	
[7/10/18 04:17PM]	Dropped Item (Id: Item [id=249, amount=1], Amount: 1) at Position: 3014, 3851, 0	
[7/10/18 04:18PM]	Picked up an item (Id: Item [id=1993, amount=1], Amount: 1) at Position: 3014, 3849, 0	
[7/10/18 04:18PM]	Dropped Item (Id: Item [id=1993, amount=1], Amount: 1) at Position: 3014, 3849, 0	
[7/10/18 04:19PM]	Picked up an item (Id: Item [id=12159, amount=4], Amount: 4) at Position: 3012, 3847, 0	
[7/10/18 04:20PM]	Picked up an item (Id: Item [id=199, amount=1], Amount: 1) at Position: 3013, 3845, 0	
[7/10/18 04:21PM]	Picked up an item (Id: Item [id=2714, amount=1], Amount: 1) at Position: 3013, 3843, 0	
[7/10/18 04:21PM]	Picked up an item (Id: Item [id=199, amount=1], Amount: 1) at Position: 3013, 3843, 0	
[7/10/18 04:21PM]	Picked up an item (Id: Item [id=12163, amount=2], Amount: 2) at Position: 3013, 3843, 0	
[7/10/18 04:21PM]	Dropped Item (Id: Item [id=249, amount=1], Amount: 1) at Position: 3013, 3843, 0	
[7/10/18 04:21PM]	Dropped Item (Id: Item [id=249, amount=1], Amount: 1) at Position: 3013, 3843, 0	
[7/10/18 04:21PM]	Picked up an item (Id: Item [id=201, amount=1], Amount: 1) at Position: 3013, 3843, 0	
[7/10/18 04:21PM]	Picked up an item (Id: Item [id=592, amount=1], Amount: 1) at Position: 3014, 3843, 0	
[7/10/18 04:21PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 3014, 3843, 0	
[7/10/18 04:21PM]	Dropped Item (Id: Item [id=592, amount=1], Amount: 1) at Position: 3014, 3845, 0	
[7/10/18 04:22PM]	Picked up an item (Id: Item [id=199, amount=1], Amount: 1) at Position: 3014, 3847, 0	
[7/10/18 04:23PM]	Sold Item to shop (Id: 2607, Amount: 1)	
[7/10/18 04:23PM]	Sold Item to shop (Id: 7384, Amount: 1)	
[7/10/18 04:27PM]	Bought Item from shop (8) (Id: 10159, Amount: 10)	
[7/10/18 04:27PM]	Bought Item from shop (8) (Id: 10159, Amount: 500)	
[7/10/18 04:27PM]	Bought Item from shop (27) (Id: 2452, Amount: 1)	
[7/10/18 04:27PM]	Bought Item from shop (27) (Id: 2444, Amount: 1)	
[7/10/18 04:28PM]	Bought Item from shop (8) (Id: 10159, Amount: 500)	
[7/10/18 04:28PM]	Bought Item from shop (8) (Id: 868, Amount: 400)	
[7/10/18 04:28PM]	Bought Item from shop (7) (Id: 1540, Amount: 1)	
[7/10/18 04:29PM]	Picked up an item (Id: Item [id=12159, amount=6], Amount: 6) at Position: 2970, 3616, 0	
[7/10/18 04:29PM]	Picked up an item (Id: Item [id=868, amount=2], Amount: 2) at Position: 2971, 3615, 0	
[7/10/18 04:29PM]	Picked up an item (Id: Item [id=995, amount=62], Amount: 62) at Position: 2971, 3615, 0	
[7/10/18 04:29PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2971, 3615, 0	
[7/10/18 04:29PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2971, 3615, 0	
[7/10/18 04:29PM]	Dropped Item (Id: Item [id=251, amount=1], Amount: 1) at Position: 2975, 3616, 0	
[7/10/18 04:30PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2977, 3612, 0	
[7/10/18 04:30PM]	Picked up an item (Id: Item [id=12160, amount=1], Amount: 1) at Position: 2975, 3614, 0	
[7/10/18 04:30PM]	Picked up an item (Id: Item [id=1753, amount=1], Amount: 1) at Position: 2976, 3613, 0	
[7/10/18 04:30PM]	Picked up an item (Id: Item [id=2714, amount=1], Amount: 1) at Position: 2976, 3613, 0	
[7/10/18 04:30PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2976, 3613, 0	
[7/10/18 04:31PM]	Picked up an item (Id: Item [id=868, amount=1], Amount: 1) at Position: 2976, 3613, 0	
[7/10/18 04:31PM]	Dropped Item (Id: Item [id=2635, amount=1], Amount: 1) at Position: 2977, 3612, 0	
[7/10/18 04:31PM]	Dropped Item (Id: Item [id=1753, amount=1], Amount: 1) at Position: 2977, 3612, 0	
[7/10/18 04:31PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2976, 3612, 0	
[7/10/18 04:32PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2977, 3611, 0	
[7/10/18 04:32PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2977, 3611, 0	
[7/10/18 04:32PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2975, 3612, 0	
[7/10/18 04:32PM]	Picked up an item (Id: Item [id=985, amount=1], Amount: 1) at Position: 2975, 3612, 0	
[7/10/18 04:32PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2975, 3612, 0	
[7/10/18 04:32PM]	Picked up an item (Id: Item [id=365, amount=1], Amount: 1) at Position: 2976, 3611, 0	
[7/10/18 04:33PM]	Picked up an item (Id: Item [id=1365, amount=1], Amount: 1) at Position: 2980, 3616, 0	
[7/10/18 04:33PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2980, 3616, 0	
[7/10/18 04:33PM]	Dropped Item (Id: Item [id=1365, amount=1], Amount: 1) at Position: 2980, 3616, 0	
[7/10/18 04:33PM]	Picked up an item (Id: Item [id=868, amount=3], Amount: 3) at Position: 2980, 3616, 0	
[7/10/18 04:33PM]	Picked up an item (Id: Item [id=987, amount=1], Amount: 1) at Position: 2981, 3616, 0	
[7/10/18 04:33PM]	Picked up an item (Id: Item [id=449, amount=1], Amount: 1) at Position: 2981, 3616, 0	
[7/10/18 04:34PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2981, 3616, 0	
[7/10/18 04:34PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2978, 3616, 0	
[7/10/18 04:34PM]	Picked up an item (Id: Item [id=12158, amount=1], Amount: 1) at Position: 2977, 3615, 0	
[7/10/18 04:34PM]	Dropped Item (Id: Item [id=449, amount=1], Amount: 1) at Position: 2977, 3615, 0	
[7/10/18 04:34PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2978, 3621, 0	
[7/10/18 04:35PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2980, 3618, 0	
[7/10/18 04:35PM]	Picked up an item (Id: Item [id=868, amount=4], Amount: 4) at Position: 2980, 3618, 0	
[7/10/18 04:35PM]	Picked up an item (Id: Item [id=868, amount=1], Amount: 1) at Position: 2980, 3618, 0	
[7/10/18 04:35PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2980, 3614, 0	
[7/10/18 04:36PM]	Picked up an item (Id: Item [id=985, amount=1], Amount: 1) at Position: 2980, 3615, 0	
[7/10/18 04:36PM]	Dropped Item (Id: Item [id=229, amount=1], Amount: 1) at Position: 2980, 3615, 0	
[7/10/18 04:36PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2980, 3615, 0	
[7/10/18 04:36PM]	Picked up an item (Id: Item [id=985, amount=1], Amount: 1) at Position: 2980, 3615, 0	
[7/10/18 04:36PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2981, 3615, 0	
[7/10/18 04:39PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2971, 3615, 0	
[7/10/18 04:39PM]	Picked up an item (Id: Item [id=868, amount=2], Amount: 2) at Position: 2971, 3615, 0	
[7/10/18 04:39PM]	Picked up an item (Id: Item [id=1753, amount=1], Amount: 1) at Position: 2972, 3615, 0	
[7/10/18 04:39PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2972, 3615, 0	
[7/10/18 04:40PM]	Picked up an item (Id: Item [id=12160, amount=4], Amount: 4) at Position: 2976, 3610, 0	
[7/10/18 04:40PM]	Picked up an item (Id: Item [id=868, amount=3], Amount: 3) at Position: 2976, 3611, 0	
[7/10/18 04:40PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2976, 3611, 0	
[7/10/18 04:40PM]	Dropped Item (Id: Item [id=1753, amount=1], Amount: 1) at Position: 2976, 3609, 0	
[7/10/18 04:40PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2977, 3608, 0	
[7/10/18 04:40PM]	Picked up an item (Id: Item [id=365, amount=1], Amount: 1) at Position: 2976, 3609, 0	
[7/10/18 04:40PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2972, 3633, 0	
[7/10/18 04:41PM]	Picked up an item (Id: Item [id=12160, amount=4], Amount: 4) at Position: 2984, 3632, 0	
[7/10/18 04:41PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2985, 3631, 0	
[7/10/18 04:41PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2975, 3614, 0	
[7/10/18 04:42PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2974, 3615, 0	
[7/10/18 04:42PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2977, 3607, 0	
[7/10/18 04:42PM]	Picked up an item (Id: Item [id=12159, amount=4], Amount: 4) at Position: 2978, 3607, 0	
[7/10/18 04:42PM]	Picked up an item (Id: Item [id=868, amount=1], Amount: 1) at Position: 2977, 3615, 0	
[7/10/18 04:45PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2960, 3614, 0	
[7/10/18 04:45PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2960, 3614, 0	
[7/10/18 04:46PM]	Picked up an item (Id: Item [id=1753, amount=1], Amount: 1) at Position: 2966, 3617, 0	
[7/10/18 04:46PM]	Dropped Item (Id: Item [id=1753, amount=1], Amount: 1) at Position: 2966, 3617, 0	
[7/10/18 04:46PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2966, 3617, 0	
[7/10/18 04:46PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2975, 3607, 0	
[7/10/18 04:46PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2976, 3607, 0	
[7/10/18 04:46PM]	Picked up an item (Id: Item [id=868, amount=1], Amount: 1) at Position: 2973, 3610, 0	
[7/10/18 04:47PM]	Picked up an item (Id: Item [id=985, amount=1], Amount: 1) at Position: 2976, 3608, 0	
[7/10/18 04:47PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2976, 3608, 0	
[7/10/18 04:47PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2971, 3618, 0	
[7/10/18 04:48PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2976, 3616, 0	
[7/10/18 04:48PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2968, 3607, 0	
[7/10/18 04:48PM]	Picked up an item (Id: Item [id=12160, amount=4], Amount: 4) at Position: 2969, 3607, 0	
[7/10/18 04:49PM]	Picked up an item (Id: Item [id=868, amount=1], Amount: 1) at Position: 2973, 3614, 0	
[7/10/18 04:49PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2971, 3616, 0	
[7/10/18 04:49PM]	Picked up an item (Id: Item [id=987, amount=1], Amount: 1) at Position: 2972, 3616, 0	
[7/10/18 04:49PM]	Dropped Item (Id: Item [id=229, amount=1], Amount: 1) at Position: 3087, 3490, 0	
[7/10/18 04:51PM]	Bought Item from shop (27) (Id: 7946, Amount: 10)	
[7/10/18 04:51PM]	Bought Item from shop (27) (Id: 2444, Amount: 1)	
[7/10/18 04:51PM]	Bought Item from shop (27) (Id: 2452, Amount: 1)	
[7/10/18 04:51PM]	Bought Item from shop (27) (Id: 7946, Amount: 1)	
[7/10/18 04:51PM]	Bought Item from shop (27) (Id: 7946, Amount: 1)	
[7/10/18 04:52PM]	Bought Item from shop (8) (Id: 9185, Amount: 1)	
[7/10/18 04:52PM]	Bought Item from shop (8) (Id: 9142, Amount: 400)	
[7/10/18 04:55PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2899, 9804, 0	
[7/10/18 04:55PM]	Picked up an item (Id: Item [id=12159, amount=3], Amount: 3) at Position: 2899, 9804, 0	
[7/10/18 04:55PM]	Picked up an item (Id: Item [id=868, amount=4], Amount: 4) at Position: 2899, 9803, 0	
[7/10/18 04:55PM]	Picked up an item (Id: Item [id=987, amount=1], Amount: 1) at Position: 2899, 9804, 0	
[7/10/18 04:55PM]	Picked up an item (Id: Item [id=868, amount=1], Amount: 1) at Position: 2899, 9804, 0	
[7/10/18 04:55PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2899, 9805, 0	
[7/10/18 04:56PM]	Picked up an item (Id: Item [id=987, amount=1], Amount: 1) at Position: 2900, 9805, 0	
[7/10/18 04:56PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2899, 9804, 0	
[7/10/18 04:57PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2903, 9801, 0	
[7/10/18 04:57PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2904, 9804, 0	
[7/10/18 04:57PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2904, 9803, 0	
[7/10/18 04:58PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2903, 9801, 0	
[7/10/18 04:58PM]	Picked up an item (Id: Item [id=1751, amount=1], Amount: 1) at Position: 2904, 9804, 0	
[7/10/18 04:58PM]	Picked up an item (Id: Item [id=985, amount=1], Amount: 1) at Position: 2903, 9801, 0	
[7/10/18 04:58PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2903, 9800, 0	
[7/10/18 04:59PM]	Picked up an item (Id: Item [id=12163, amount=2], Amount: 2) at Position: 2903, 9801, 0	
[7/10/18 04:59PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2903, 9801, 0	
[7/10/18 05:00PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2904, 9803, 0	
[7/10/18 05:00PM]	Picked up an item (Id: Item [id=12159, amount=6], Amount: 6) at Position: 2904, 9803, 0	
[7/10/18 05:00PM]	Picked up an item (Id: Item [id=985, amount=1], Amount: 1) at Position: 2904, 9803, 0	
[7/10/18 05:00PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2904, 9803, 0	
[7/10/18 05:01PM]	Picked up an item (Id: Item [id=987, amount=1], Amount: 1) at Position: 2904, 9803, 0	
[7/10/18 05:01PM]	Picked up an item (Id: Item [id=2714, amount=1], Amount: 1) at Position: 2904, 9803, 0	
[7/10/18 05:01PM]	Dropped Item (Id: Item [id=7321, amount=1], Amount: 1) at Position: 2904, 9803, 0	
[7/10/18 05:01PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2904, 9803, 0	
[7/10/18 05:01PM]	Dropped Item (Id: Item [id=1751, amount=1], Amount: 1) at Position: 2903, 9810, 0	
[7/10/18 05:02PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2905, 9804, 0	
[7/10/18 05:08PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2904, 9804, 0	
[7/10/18 05:08PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2904, 9803, 0	
[7/10/18 05:08PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2900, 9805, 0	
[7/10/18 05:08PM]	Picked up an item (Id: Item [id=868, amount=4], Amount: 4) at Position: 2899, 9804, 0	
[7/10/18 05:09PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2903, 9802, 0	
[7/10/18 05:10PM]	Picked up an item (Id: Item [id=1751, amount=1], Amount: 1) at Position: 2904, 9803, 0	
[7/10/18 05:10PM]	Picked up an item (Id: Item [id=868, amount=6], Amount: 6) at Position: 2904, 9803, 0	
[7/10/18 05:10PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2903, 9801, 0	
[7/10/18 05:12PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2904, 9803, 0	
[7/10/18 05:13PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2904, 9803, 0	
[7/10/18 05:13PM]	Picked up an item (Id: Item [id=209, amount=1], Amount: 1) at Position: 2903, 9803, 0	
[7/10/18 05:13PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2903, 9803, 0	
[7/10/18 05:14PM]	Picked up an item (Id: Item [id=561, amount=15], Amount: 15) at Position: 2903, 9803, 0	
[7/10/18 05:14PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2904, 9802, 0	
[7/10/18 05:14PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2904, 9803, 0	
[7/10/18 05:15PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2900, 9805, 0	
[7/10/18 05:20PM]	Sold Item to shop (Id: 1631, Amount: 1)	
[7/10/18 05:20PM]	Dropped Item (Id: Item [id=1751, amount=1], Amount: 1) at Position: 3086, 3505, 0	
[7/10/18 05:20PM]	Dropped Item (Id: Item [id=209, amount=1], Amount: 1) at Position: 3090, 3502, 0	
[7/10/18 10:06PM]	Picked up an item (Id: Item [id=987, amount=1], Amount: 1) at Position: 2982, 3608, 0	
[7/10/18 10:06PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2981, 3609, 0	
[7/10/18 10:06PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2981, 3609, 0	
[7/10/18 10:07PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2986, 3619, 0	
[7/10/18 10:07PM]	Picked up an item (Id: Item [id=985, amount=1], Amount: 1) at Position: 2985, 3618, 0	
[7/10/18 10:07PM]	Picked up an item (Id: Item [id=1213, amount=1], Amount: 1) at Position: 2983, 3606, 0	
[7/10/18 10:07PM]	Picked up an item (Id: Item [id=536, amount=1], Amount: 1) at Position: 2983, 3606, 0	
